Date Created,Number of Likes,Source of Tweet,Tweets
2020-07-31 23:59:13+00:00,0,Twitter Web App,"@dbongino Glad to have our POTUS clear this up daily, by reminding everyone that CHINA purposely stopped Planes from coming into the country, but allowed planes to continue to exit after being notified by Scientists at Wuhan about the outbreak. Scientist instead was jailed by CHINA."
2020-07-31 23:58:31+00:00,2,Twitter for iPhone,"@realDonaldTrump @GenFlynn @SidneyPowell1 @SecPompeo @KarenLance18 @Realpersonpltcs @maverick550 Hey Fauci, Stick it up your Wuhan!! #PirateRadioFriday"
2020-07-31 23:58:31+00:00,0,Twitter Web App,"All Wuhan Roads Lead Back To US Gov, Netherlands Refuses Mask Mandate &amp; ... https://t.co/mqAWtCdCcC via @YouTube"
2020-07-31 23:57:31+00:00,0,Twitter for Android,@RealJamesWoods Exactly. Also know that Dr. Fauci - the SAME Fauci approved nearly $4M to that same Wuhan lab under Obama while with the NIH. Why?
2020-07-31 23:56:47+00:00,0,Twitter Web App,"@AboveThis666 @EveClar28910627 @fabiolacag @M2Madness Obama, Gates, and Fauci weren't in a Wuhan lab in 2015. That's simply not true."
2020-07-31 23:56:24+00:00,0,Twitter Web App,"@ScottAdamsSays Even a tofu sandwich, on gluten free bread, would win an election against the guy who said we should try to inject bleach as a cure to the Wuhan flu."
2020-07-31 23:54:34+00:00,0,Twitter Web App,"Cut U​.​S. funding for unnecessary animal tests in Wuhan, China &amp; other foreign labs! Millions of $ go to labs that literally torture &amp; kill animals, when better methods exist. Help stop the needless suffering. - Sign the Petition! https://t.co/3WnRGgStYH via @Change"
2020-07-31 23:53:22+00:00,0,Twitter for Android,@OregonGovBrown These are cartoon images anyone can fabricate. The Association of American Physicians and Surgeons conclusion is masks are not effective at preventing the spread of the Wuhan virus. Not even N95
2020-07-31 23:53:10+00:00,0,Twitter for Android,@Burt_Royale @drdavidsamadi @realDonaldTrump They aren't but its proof positive the Wuhan Flu isn't a 1/16  as dangerous as the real killers in this country. Stop being a political stooge an think for yourself for once. If you don't like Trump fine vote him out that's fine but  educate yourself. Stop buyin into what ur told
2020-07-31 23:52:26+00:00,0,Twitter Web App,"@karolcummins @WeAreSinclair Human to human transmission was only confirmed when a 6-member expert team visited the hospital in Wuhan Jan 19 and found infection in health care workers and family clusters. China alerted the world Jan 20, see NYT.  Dr Fauci ignored this. He's blaming China for his own mistake."
2020-07-31 23:52:09+00:00,0,Twitter for iPhone,@TheLiberalNerd @trashytrashrat @GOP @realDonaldTrump Obama left us unprepared and he funded chinas Wuhan lab who deliberately released Obama’s virus he funded research on deliberately to take down trump #conspiracy #ObamaWorstPresidentEVER #Trump2020Landslide
2020-07-31 23:51:48+00:00,0,Twitter for iPad,"@robster16a @PeterFi98279139 @commonsensejan @michellmybell1 @imkimaaron @PaulDubuisson @OMalleyKaty @USAF_Eternally @nico_manocchio @kraegkust @SSpence64 @MDH_UAR @donholtmac @S4R41_K44R @ScientiaPercept @malo_j @Friendof_Darwin @surgerysleeper @HazyPeter @tcunderdahl @badgervindaloo @RJDownard @htownsmitty @LeannEAF @orna_verum @NaturalBAtheist @geraldpayne25 @JesusChristTalk @tklforgiven @umfpt @Megavolt1 @chrismardell @HaircutSpock @lindaz333 @JaTapps @TTStraw2 @Canna420Uk @JordanRivers007 @Golfergirl2018 @2Cents69 @jcvampuk @fusepark @Janetb172 @SlenderSkeptic @Scepticdust @Crazyparklady1 @david_gooder @th1rt3en_TM @SmokeyStafford @MPloughboy “You said none of the animals tested”

I said “none of the animals in the Wuhan Huanan Seafood Wholesale Market tested positive.” What’s up?"
2020-07-31 23:50:26+00:00,5,Twitter Web App,"@jmullerhome @hijodelcuervo The literal point of the article is that a usaid and darpa goon is at the center of the narrative blaming the Wuhan lab. Please tell me where ""the evil Russians"" are mentioned in the article."
2020-07-31 23:50:25+00:00,1,Twitter Web App,"Very compelling case that #COVID19 originally came from the Wuhan labs and not the wet markets. 

https://t.co/nhRG5unWS4"
2020-07-31 23:49:03+00:00,0,Twitter for iPad,@JoeMarino2017 @dgordon52 @realDonaldTrump @DNCWarRoom The origins of the virus is Wuhan China.
2020-07-31 23:48:04+00:00,0,Twitter Web App,@marklevinshow CCP/China muzzled doctors talking about Wuhan Virus. It looks like parts of USA are doing the same with doctors &amp; HCQ -Shame on them !
2020-07-31 23:46:19+00:00,2,Twitter for Android,@reebi2020 @M2Madness A few months back Dr Fuchy ran his gator too much and spilled the beans that he &amp; Gates have been working on a covid (Wuhan flu) vaccine since January in a lab in the CCP that he &amp; Gates own stock in? The MSM silent 😠 https://t.co/S4gitjVn9Y
2020-07-31 23:45:23+00:00,0,Twitter for Android,@GavinNewsom What's not ok is you continue to deal with the communist party after Covid from the city of Wuhan  has killed how many of your constituents?! We know about the half a billion deal for masks. What else are you giving your comrades at the CCP?
2020-07-31 23:45:16+00:00,0,Twitter Web App,"@chelseahandler also nothing but insults here...not one of you f'*^k's can Disprove ""Yes,Protesters Spread The WuHan Flu Like ANY OTHER CROWD"" so like Any Looser Choose To TRY and Attack His Character,you know this would Kill yer being okay with Blm Protest And RIOTS"
2020-07-31 23:43:04+00:00,1,Twitter Web App,"All Wuhan Roads Lead Back To US Gov, Netherlands Refuses Mask Mandate &amp; ... https://t.co/HkMA8gD4a2 via @YouTube"
2020-07-31 23:42:14+00:00,1,Twitter Web App,"Cut U​.​S. funding for animal tests in Wuhan, China &amp; other foreign labs! - Sign the Petition! https://t.co/BJumws284W via @Change"
2020-07-31 23:41:18+00:00,0,Twitter for Android,@GOP @realDonaldTrump Like he's done with the 150k dead? They were probably loser democrats anyways. Plus I heard having tiny hands makes you more susceptible to the Wuhan virus. SAD!
2020-07-31 23:40:53+00:00,1,Twitter for Android,"@iancassel No more bats please. Just because one fellow decided to eat a Bat in Wuhan, all of us are sitting in homes and wearing masks! Burn those bats and send them to thier makers!"
2020-07-31 23:40:01+00:00,0,Twitter Web App,"All Wuhan Roads Lead Back To US Gov, Netherlands Refuses Mask Mandate &amp; ... https://t.co/ojbBjbuHKk via @YouTube"
2020-07-31 23:39:51+00:00,1,Twitter for iPhone,"@Noahpinion @jbarro The coverup by Wuhan’s provincial government was a fair bit earlier, right?"
2020-07-31 23:37:26+00:00,0,Twitter for iPhone,@DailyCaller @PressSec Oooo ypu guys said “Maybe dont go to Wuhan” great job. Donald said it would go away. And them saying they care about even one life is one of the most blatant lies in this administration
2020-07-31 23:36:30+00:00,0,Twitter for Android,"@realDonaldTrump, please fire Fauci. He has made himself an enemy of the American people. Make him return the $3.8M that Obama gave him for the Wuhan lab.
Many believe this is a deliberate attack.
https://t.co/EjnW4SEsvl"
2020-07-31 23:35:53+00:00,0,Twitter for iPhone,"@chrislhayes Oh man! Yuck! Covid lab apartments... remember when the virus first emerged in Wuhan, there was a big point of spread due to faulty plumbing through an apartment building? They discovered it was open pipes leading to sewage contaminated the building. Wow."
2020-07-31 23:35:12+00:00,0,Twitter Web App,@goldenret52 @BudCooper3 @MichelleRempel FYI March 11 WHO declared a pandemic. 2 days later our first death from the Wuhan virus. March 16th St Patty's Day blackface declared our border to be shut down and we went into lock down. March 17th  Ford declared an emergency and only essential service was allowed to b open.
2020-07-31 23:34:25+00:00,0,Twitter Web App,"@SenFeinstein Senator, Appalled you are supporting China!  Do you not realize that these ROGUES have killed 150,000 American citizens with the Wuhan Virus.  What IN GOD'S NAME ARE YOU THINKING ABOUT?? Have you lost all allegiance for America &amp; your Garbage dumps in LA &amp; San Fran?"
2020-07-31 23:33:53+00:00,0,Twitter Web App,"@chelseahandler wow...yer Period is trying to ask ""are protesters subject to spread the WuHan Flu just like All  Other crowds""?

I think yer Period is like yer face...always running with no thoughts as to why"
2020-07-31 23:33:36+00:00,0,Twitter Web App,"@TheMaineTweeter You will travel to Wuhan, China"
2020-07-31 23:32:15+00:00,1,Twitter Web App,Wuhan is already flooding and the #threegorgesdam has not even collapsed yet. And monsoon season has not even started.
2020-07-31 23:31:55+00:00,0,Twitter for Android,"@SelectGOP @RepWalorski China lied about origin of virus, lied about human to human spread, quarantined Wuhan province from rest of China while allowing international fights in and out of Wuhan.  Seized all existing supplies of PPE and agents for testing then sold defective masks and test to others."
2020-07-31 23:29:35+00:00,0,Twitter Web App,@Doryphore6 China &amp; WHO suspected human to human transmission December 31. US CDC warned US doctors to use respiratory protection Jan 8. It was only confirmed when 6 Chinese experts visited Wuhan hospitals Jan 19 and found health care workers and family clusters infected. Reported Jan 20.
2020-07-31 23:28:55+00:00,0,Twitter for iPad,@next_china Evil that virus from Wuhan is. Devastating.
2020-07-31 23:28:29+00:00,1,Twitter for iPhone,@AndrewBroering @_celia_bedelia_ @Wuhan_Cat @DavidSamollow @katgyrl @TimRunsHisMouth @CNN Took less than a second to find. And trans women are women. https://t.co/ygAr2Cvp7l
2020-07-31 23:27:39+00:00,0,Twitter Web App,"The main financial investors in UNITAID are George Soros, Bill &amp; Melinda Gates, and WHO. Gilead and UNITAID were financial supporters of Hillary Clinton. Fauci authorized millions to be sent to the Wuhan Institute of Virology specifically for the “study” of Coronaviruses."
2020-07-31 23:27:30+00:00,0,Twitter for iPhone,"@natsprat3 @AndrewBroering @_celia_bedelia_ @katgyrl @Wuhan_Cat @TimRunsHisMouth @CNN https://t.co/QPuApjOlhs
Timestamp..."
2020-07-31 23:27:03+00:00,0,Memo Forward,"All Wuhan Roads Lead Back To US Gov, Netherlands Refuses Mask Mandate &amp; Vaccine Company's Immunity  https://t.co/e1grSmKoAt   #COVID19   #Wuhan   #WIV   #DARPA   #USAID   #Netherlands   #Masks   #Vaccines   #Pentagon  - The Last American Vagabond https://t.co/28coHiuQ5V"
2020-07-31 23:26:32+00:00,0,Twitter Web App,"From a friend: Remdesivir is made by Gilead and is the “CURE” for COVID-19....China holds the patent on the drug through an agreement with Gilead’s drug patent sharing subsidiary branch called UNITAID, which has an office near Wuhan.
1/2"
2020-07-31 23:26:09+00:00,0,Twitter for iPhone,"@TX_WalkerRanger I thought he was good at first. Then I found out he’s pals w/ Bill Gates, his wife is in on the vaccine &amp; he was involved w/ the Wuhan lab. Now do I not only think he’s a fraud, I think he’s a Dr Frankenstein! I saw him being honored by the press with KaperDick &amp; that was all I"
2020-07-31 23:25:50+00:00,0,Twitter Web App,"@GiffinAmes @bmcclendon @amymaxmen @CDCgov Novel schmenovel. Still a Coronavirus. What's novel is it's bioengineered with 3 new components including SARS and HIV. Why? Then it escaped the Wuhan lab, like everything else from Chyna, how convenient. Chyna would rather kill millions than pay billions in tariffs https://t.co/TbgyM2ULoG"
2020-07-31 23:25:02+00:00,2,Twitter for Android,@Wuhan_Cat @AngryDollFace1 @AndrewBroering @DavidSamollow @_celia_bedelia_ @katgyrl @TimRunsHisMouth @CNN Woman isn't a proper noun. Lowercase is fine unless you're starting a sentence with it
2020-07-31 23:24:07+00:00,11,Twitter for Android,"🔴 LIVE @ 4:45pm PST

Ryan with The Last American Vagabond @TLAVagabond

#Wuhan #US #Netherlands #Masks #mandatory #muzzles #vaccines #vaxx #immunity #PCRtests #Israel 

@_whitneywebb @hijodelcuervo

https://t.co/QAm8Ey0JwF"
2020-07-31 23:23:50+00:00,0,Twitter for iPhone,@hrkbenowen They should question him about what he had to do with Bill Gates and the Wuhan lab.
2020-07-31 23:23:38+00:00,0,Twitter Web App,"@nathanlawkc 
Because of the evil CCP. CCP has become the enemies of many countries. Many people around the world are suffered by the Chinese Wuhan Cornovirus-19. CCP must pay cost for what they have done.😠

Nathan, you have done the right things in right aspects, so don't worry"
2020-07-31 23:22:47+00:00,1,Twitter for iPhone,"Absolutely! It as crazy as the rest of the things the Dems are desiring to do to our people &amp; our nation! Follow the $$: 2015, at LEAST $600M to Wuhan University to study bar viruses? There’s a rat in the WH! Mandatory vaccines? Gates &amp; Fauci’s names pop up a LOT!"
2020-07-31 23:22:00+00:00,0,Twitter Web App,"@GavinNewsom How many inmates were let out early because of the Wuhan virus? How touching of you to let their families know that their voices are being heard. Have you also heard the voices of their victims? If not, why not?"
2020-07-31 23:20:51+00:00,0,Twitter for Android,"CARRIE LAM IS A CCP PUPPET. 
JUST SEND HER  TO THE WET MARKETS  INFESTED WITH WUHAN VIRUS"
2020-07-31 23:20:33+00:00,0,Twitter Web App,"@realDonaldTrump For the love of God and the love of country sir,  GET RID OF THIS JERK, BOUGHT AND PAID FOR BY WUHAN AND THE DEMOCRATS."
2020-07-31 23:20:27+00:00,0,Twitter for iPhone,"@rachelbaxendale Wuhan Dan strikes again! As long as Cedar keeps paying him the money, all good. Nothing to see here. Move along please #DanMadeDisaster"
2020-07-31 23:18:56+00:00,0,Twitter Web App,"@AndrewBroering @_celia_bedelia_ @katgyrl @Wuhan_Cat @TimRunsHisMouth @CNN There are extremely rare cases of girls being born with no uterus, but you’re right. No man has one. He may have some tissue, but not a cervix."
