Date Created,Number of Likes,Source of Tweet,Tweets
2020-01-31 23:59:57+00:00,0,Twitter for iPhone,Fact Check: Q&amp;A on the Wuhan Coronavirus  https://t.co/hZVEZtKAfR
2020-01-31 23:59:50+00:00,1,Twitter for iPhone,"Without a way back home, the Chinese Embassy is bringing back stranded Wuhan residents from Japan and Malaysia. 
#fightingcoronavirus #Wuhan https://t.co/EpJCYijM9D"
2020-01-31 23:59:43+00:00,0,Twitter for iPhone,China bans citizens from booking overseas tours amid Wuhan coronavirus. The move comes as the government works to limit the spread of the Wuhan coronavirus that has so far killed 42 both within its borders and abroad. #coronavirus  https://t.co/HSSPIkE6iv
2020-01-31 23:59:36+00:00,63,Sprinklr,There's now a $186 flight from Hong Kong to New York - with a 6-hour stopover in Wuhan https://t.co/yEKL7yI4xV https://t.co/ccYzycyKEu
2020-01-31 23:59:34+00:00,0,Twitter Web App,"My @Reuters report on the US State Dept working with US &amp; Chinese agencies to organize additional flights for American citizens to return to the US from Wuhan, the coronavirus outbreak's epicenter (https://t.co/FsmWeW6s6O).

#coronarvirus #Chevron #OOTT #Hubei #WHO #China #Wuhan"
2020-01-31 23:59:07+00:00,2,Twitter for iPad,"I was going to throw it away, because I had it for awhile, but I might needed later. #n95mask #coronavirus #china #wuhan https://t.co/T8At3I5YLf"
2020-01-31 23:59:06+00:00,0,Twitter Web App,10000 infected. And the number continues growing up. Wuhan hospitals I heard now only admitted the almost dead infected
2020-01-31 23:58:54+00:00,0,Twitter for iPhone,"@JoeNBC If there is ever a time to spend US Taxpayer money at a Trump branded property it is now, on the US citizens quarantined upon their arrival home from Wuhan. 
Better yet, @realdonaldtrump should donate the space."
2020-01-31 23:58:44+00:00,1,Twitter for iPhone,"@BrianJWooster Tired: Wuhan Flu 
Wired: Teflon Flu

We're bringing it back, baby"
2020-01-31 23:58:39+00:00,1,Twitter for iPhone,'There's no doubt': Top US infectious disease doctor says Wuhan coronavirus can spread even when people have no symptoms - CNN https://t.co/KSH8YjlW49
2020-01-31 23:58:29+00:00,0,Twitter Web App,@bstategames tell nikita to stop spending all the money made off of sales on krokadil and chinese wuhan hookers please
2020-01-31 23:58:28+00:00,2,Twitter Web Client,Wuhan coronavirus death toll rises to 258 in China with 45 new fatalities https://t.co/GREpOLeseB
2020-01-31 23:58:27+00:00,1,Twitter for Android,This just keeps getting worse.  They she wasn't around anyone when she returned from Wuhan.... andhttps://www.nbcchicago.com/news/local/infant-related-to-illinois-coronavirus-patients-develops-fever-is-being-tested-family-says/2211048/
2020-01-31 23:58:22+00:00,1,Twitter Web App,"More than 75,000 people -- ten times the official tally of confirmed cases -- have been infected with the #coronavirus in #Wuhan, ground zero of a global health emergency, according to research published Friday.
https://t.co/lSOHTs3S5r"
2020-01-31 23:58:20+00:00,5,Twitter Web App,"100% pure, uncut coincidence str8 from the grower

MH17 crash: 'Total shock' at Aids researcher deaths
""so many HIV researchers were on the flight that everyone was worried that friends and colleague were on board."" WEWhan
#WuFlu #Wuhan 
https://t.co/WTQp2og696 https://t.co/ubftkpLgTH"
2020-01-31 23:58:01+00:00,3,Twitter for iPhone,#Wuhan. I’m sad to see our brothers and sisters in China suffering.  They are in my prayers tonight. I wish I could help somehow. Feeling useless.
2020-01-31 23:57:55+00:00,0,Twitter Web App,"It takes weeks to die after hospitalization.
And only Asians die, because they have 5 times as many #2019nCov receptors. Non-Asians have relatively mild cases and recover relatively quickly.
#wuhan"
2020-01-31 23:57:52+00:00,0,Twitter Web App,"A perfect breeding ground for viruses #coronarvirus #coronavirusuk #CoronaOutbreak #CoronavirusWho #Wuhan #wuhanconoravirus #CoronavirusOutbreak 
https://t.co/nBHhHcNotE"
2020-01-31 23:57:39+00:00,0,Twitter for Android,"@HaneyHandy @ajmm19923493 Strange that the first sentence is ""HK is part of China"". The fact is: Lots of Wuhan patients rushed to HK these days. They mingled in the society till they collapsed. Why? Not trusting the Chi. med. system for sure. Medical costs? Irresponsible? Or just want to contaminate HK?"
2020-01-31 23:57:38+00:00,0,Twitter for Android,@danborvan You go to church in Wuhan?
2020-01-31 23:57:35+00:00,0,Twitter for Android,"@SCMPNews Why wuhan people thinks they will be welcomed, they need to act smart and avoid going outside"
2020-01-31 23:57:34+00:00,0,Twitter Web App,"@MAGAGwen @inthecopa Is it too late to shanghi Schiff &amp; get him on a very slow boat to Wuhan, China?!"
2020-01-31 23:57:22+00:00,4,Twitter Web App,"People from affected areas such as #WuHan and Hubei traveling into Canada are not even being advised to self-quarantine.

The airport screening is a simple yes/no check without verification nor a temperature check.

Let's change this:
https://t.co/VEVnsYs8Sx

#coronaviruscanada"
2020-01-31 23:57:11+00:00,0,Twitter for iPhone,"@ewurama_x Silly. He just formed a special committee just for Wuhan Corona virus.  Gov agencies grew too large, unaccountable, spending as if no Tomm. The necessary basis of ops still there. You may s in your food, but I don’t advise that TDS behavior! 😂"
2020-01-31 23:57:08+00:00,1,Twitter Web Client,"Do not take the vaccine that may be ""PUSHED"", from this event!
On the Origins of the 2019-nCoV Virus, Wuhan, China https://t.co/kF8P6ezV56 via @john0sullivanp2"
2020-01-31 23:56:54+00:00,3,Twitter Web App,In article for @ConversationEDU @vageesh1 warns against uncritical praise of Wuhan quarantine/lock-down #2019nCoV #coronavirus https://t.co/p5uUYA1p2k
2020-01-31 23:56:54+00:00,1,Twitter Web App,"@kerrya11en That is amazing and cute.I am 100% supporting you guys I hope you fight through this virus FIGHTING!!!!!!
#Wuhan #China #WuhanChina"
2020-01-31 23:56:50+00:00,3,Twitter for iPhone,"@135711a US consulate in Wuhan is closed. Everyone was evacuated. You gotta contact this address immediately! Hope this helps! 
https://t.co/cZnjrxsVnv"
2020-01-31 23:56:44+00:00,3,Paper.li,An AI Epidemiologist Sent the First Warnings of the Wuhan Virus https://t.co/iVLSthgvAi #artificialintelligence
2020-01-31 23:56:40+00:00,12,Twitter Web App,"@trvrb Anyone know if RaTG13 genome was published prior to paper from Shi's lab in Wuhan on 1/23? It doesn't seem to have been added to any databases until now, but supposedly was sequenced in 2013. Is it unusual that they'd be generating lots of novel seq data without depositing it?"
2020-01-31 23:56:35+00:00,0,Twitter for Android,I can hear children! 😥😩My heart is crying. God bless you Wuhan! 🙏🙏🙏 Let's all pray together for healing in all over the nation especially in those infected countries.louyaaaa 😥😥 https://t.co/zKx01Mlpho
2020-01-31 23:56:26+00:00,1,Twitter Web App,"#Wuhan #coronavirus 
C(t) = [(r/m)t + A]^m use the damped least squares method (Levenberg-Marquardt algorithm) to estimate parameters r, m, and A. This is a decelerated exponential growth model valid for this particular outbreak.
https://t.co/DQQv4EGNVI https://t.co/FPC6d3Kz6X"
2020-01-31 23:56:26+00:00,181,Twitter Web App,"Combined modeling of Wuhan #nCoV2019 incidence with travel cases by @AdamJKucharski et al. A couple things I particularly like here:
1. Data that the model is being fit to is clearly shown
2. R0 and mobility are not treated as constants
https://t.co/1jR4pccNhl https://t.co/qbIH6KIV7T"
2020-01-31 23:56:16+00:00,0,Twitter Web App,"#Environmental #Protests break out in #Wuhan #China, July 2019. #Air #water #soil heavily #polluted. Perfect storm for health issues!  https://t.co/kG0J82TNj1 https://t.co/CTIWeREhLr"
2020-01-31 23:56:14+00:00,0,Twitter for Android,"Japan and the U.S. are imposing tougher restrictions on Chinese visitors to keep out potential carriers of the novel coronavirus as it spreads beyond the epicenter of Wuhan. Non-Japanese travelers who have recently visited Hubei Province, are being barred from entering Japan. https://t.co/2gdrCAZ4UE"
2020-01-31 23:56:02+00:00,0,LinkedIn,"Wuhan coronavirus app tracks its spread: see how it works - Business Insider
https://t.co/sCOtD8PPJJ https://t.co/vQ7X1b03Py"
2020-01-31 23:56:02+00:00,2,Twitter for iPhone,"@scopedbylarry @GhostOfGJohnson @marynmck Something that is equally contagious as the flu with a 2% mortality rate instead of .03% would be a disaster.  It’s very possible the mortality rate is much lower than that because of undercounting of mild cases in Wuhan, but if their metrics are correct then it’s a possibility."
2020-01-31 23:56:01+00:00,0,Twitter for iPhone,"@GOPLeader If there is ever a time to spend US Taxpayer money at a Trump branded property it is now, on the US citizens quarantined upon their arrival home from Wuhan. 
Better yet, @realdonaldtrump should donate the space."
2020-01-31 23:56:00+00:00,24,TweetDeck,"The streets of the Chinese city of Wuhan now resemble a horror movie as the deadly coronavirus spreads and claims new victims. 
Warning: Distressing.
Full story: https://t.co/5VKwUrx4ak
📷: Hector Retamal/AFP. https://t.co/CRZnsVXHRo"
2020-01-31 23:55:51+00:00,2,Twitter for iPhone,"Not sure if the Wuhan coronavirus can be compared to others since they’re so different, and this one is new. Anyway, it’s concerning how those infected can still infect others during the incubation period, and those who are asymptomatic with the virus can spread it too. 1/"
2020-01-31 23:55:47+00:00,0,Twitter for iPad,"Whole genome of the Wuhan coronavirus, 2019-nCoV, sequenced -- ScienceDaily https://t.co/0BNIO8LtVP"
2020-01-31 23:55:45+00:00,0,Twitter for Android,"Another consequence of climate change: Dozens of previously unknown viruses discovered in 15,000-year-old glaciers.

#ClimateChange #climate #environment #coronoravirus
#virus #Wuhan

https://t.co/tx6asx9zGZ"
2020-01-31 23:55:16+00:00,5,Twitter for Android,"The contrast betwn requiring Australians to pay $1000 to be sent from Wuhan to #ChristmasIsland where there is not access to proper medical facilities &amp; Drs and the $100m dished out corruptly, as directed by the PM, is sickening. 
#ScottyFromSportsRorts #auspol"
2020-01-31 23:55:07+00:00,0,Twitter for iPhone,"Coronavirus: 75,000 people infected in Wuhan, experts now believe https://t.co/wr36iw5OPG"
2020-01-31 23:55:04+00:00,1,Hootsuite Inc.,Scientists from @hkumed @HKuniversity reveal for the first time what the Wuhan coronavirus looks like https://t.co/p77ulmmceJ https://t.co/iWbUkouSmg @next_china
2020-01-31 23:55:03+00:00,1,Hootsuite Inc.,"Is EMS prepared for an epidemic or pandemic? The Wuhan coronavirus is prompting EMS agencies and fire departments to review training, equipment and policies for an epidemic

Coronavirus: Is EMS prepared for an epidemic or pandemic? https://t.co/TCsQiiVTiQ"
2020-01-31 23:54:54+00:00,0,Twitter for Android,"@Phillip_In_HK I may be racist, but 5 million Chinese from Wuhan ran from each other and spread this shit around the globe."
2020-01-31 23:54:43+00:00,1,Twitter for Android,"Yes to preventive measures, but keep in mind that people from Wuhan, or China rather, are having a difficult time right now. Let us be the hospitable Filipinos that we are known for. Pray for Wuhan and the cities that are nCov positive."
2020-01-31 23:54:36+00:00,0,Twitter Web App,"#coronavirus #cgtn #cctv #china #wuhan #CoronavirusOutbreak #cbc #cnn #bbc #japan #korea #toronto #ottawa #CTV #cnbc #nbc #abc #cbs #Russia #Philippines #coronarvirus #Germany #msnbc

It's time to defeat coronavirus!!! You can do it China!!! Go China Go!!

https://t.co/JdUbsoIUJS"
2020-01-31 23:54:33+00:00,1,dlvr.it,Coronavirus: CDC Puts Americans Who Left Wuhan Into 'Unprecedented' 14-Day Quarantine https://t.co/DOmfvLOeLa https://t.co/w7gKcDvaNB
2020-01-31 23:54:33+00:00,0,Twitter for iPhone,"@BrunchBewtBlack Not a flight attendant but the distance from Wuhan to Beijing is the same as Los Angeles to El Paso so, I don’t think it’s like, too close to the epicenter personally"
2020-01-31 23:54:31+00:00,0,Twitter Web App,"#coronarvirus 
#BiologicalWarfare
#Wuhan  

Ring a ring o’ roses
A pocketful of posies
a-tishoo, a-tishoo
We all fall down.

The bird upon the steeple
Sits high above the people
a-tishoo, a-tishoo
We all fall down."
2020-01-31 23:54:31+00:00,0,Twitter Web App,"Here's a cool interactive dashboard that is tracking the Wuhan N-Coronavirus outbreak.
https://t.co/qpgoIBC4N0"
2020-01-31 23:54:28+00:00,0,Twitter Web App,#Deadly  #coronavirus  #outbreak  DID start at the #animal #Markets  in #Wuhan  https://t.co/fjR0iKnrLj via @MailOnline Perhaps #Australia needs to have #ThermalScanning at our #Airports
2020-01-31 23:54:25+00:00,0,Twitter Web App,"@MungoMouthpiece At the moment the EU, brexit and the rest of the sorry carnival don't interest me... If the Wuhan Flu goes into high gear, the EU, the UK and the rest of civilisation will just be memories to the survivors."
2020-01-31 23:54:23+00:00,33,Twitter Web App,"#US 7th confirmed #coronavirus case Santa Clara Co. #CA
-a man fell ill following 1/24 return from #Wuhan 
-man self-isolated at his residence, leaving home 2x to seek medical care. 
-officials contacting individuals who may have come into contact w/ him
https://t.co/Y2j5zanu7g"
2020-01-31 23:54:14+00:00,0,Twitter for Android,"China must contain the Wuhan virus, or the whole world will pay a price

https://t.co/2RV9Y34dZz"
2020-01-31 23:54:13+00:00,0,Twitter for Android,"#Wuhan #coronavirus #PANDEMIC BIOENGINEERED: Who’s behind it, why now and why #China? #WuhanCoronovirus #CoronavirusWho https://t.co/Ug1Jr30HJS"
2020-01-31 23:54:12+00:00,24,Hootsuite Inc.,"Numerous social media posts falsely suggest that because Clorox and Lysol products list “Human Coronavirus” on their bottles, the Wuhan coronavirus was already known. It wasn’t. These products were tested against a strain that causes the common cold. https://t.co/F4OrWVzp9W"
