Date Created,Number of Likes,Source of Tweet,Tweets
2020-05-31 23:59:56+00:00,0,Twitter Web App,"From my gym I have learned that SARS-COV-2 is ""the virus that causes COVID-19."" That's great. So like HIV/AIDS, we can now start saying ""SARS-COV-2/COVID-19."" On second thought, I think I will stick with Wuhan flu. And if it is not strictly a flu, I will go with Wuhan virus."
2020-05-31 23:59:38+00:00,3,Twitter for Android,@politiwars @ForAmerica LOL the Dems wanted to impeach Trump for illegally 'assassinating' Soleimani. They support China despite the fact that the CCP blocked domestic flights from Wuhan but encouraged international flights from Wuhan. Dems want America to burn so they can govern 100% of the ashes.
2020-05-31 23:58:58+00:00,1235,Twitter Web App,@GreatGameIndia At last Namo Govt has acted on my letter and press statement. Govt must prosecute TIFR Chairman for illegally participating in the Wuhan Univ/US Defense Dept on Bat research in Nagaland
2020-05-31 23:56:22+00:00,0,Twitter for iPhone,"@BooeyBeaver @uTobian (5) Oct.’19 Event201 set parameters for what we saw. Fauci funded $3.7 Million BSL4 Wuhan Lab for HIV vaccine. (6) Gates dreamed since early (stole from Kildal, MS, DOS, PC from Xerox’alto’) his World Population Control. (7) id2020 NanoTech medically useless vaccine both DNA and"
2020-05-31 23:55:26+00:00,0,Twitter for Android,"@washingtonpost The only obvious distraction, the Democratic party trying to cover up China's culpability in weaponizing the Wuhan Virus and intentionally spreading it to 184 Countries."
2020-05-31 23:55:01+00:00,0,Twitter Web App,"@PR4GM47IC @Qwerty81387343 @KyleKulinski It's actually been proven that it didn't come from the Wuhan wet market. They were victims, not the initial cause.

And to your point, there are reports of cases in Europe and even in the US much earlier than official counts.

That said, we don't know where it really came from."
2020-05-31 23:53:30+00:00,0,Twitter Web App,"@Daoyu15 @AtomsksSanakan @franciscodeasis @Rossana38510044 @KhaledATalaat @joe14998477 @R_H_Ebright @BillyBostickson @luigi_warren @Ayjchan @_hoeman @Nomdeplumi1 @RolandBakerIII @johndifool23 @Real_Adam_B @TheSeeker268 @uacjess @AntGDuarte @PaulGodolphin @BioObject @JJ2000426 @_coltseavers @scottburke777 @still_a_nerd @jjcouey @Harvard2H @ydeigin @CarltheChippy @DefeatTheElites @ico_dna @nerdhaspower @DrAntoniSerraT1 you misunderstood the figure. That shows the virus that left Wuhan was type B. 

But it doesn't mean that is where the virus came from. The virus was originally A, in terms of temporal math and evolutionary math."
2020-05-31 23:53:27+00:00,0,Twitter for Android,@drchrisnewton @LBCNews How do you explain a lot of the seeding in the US and other countries coming from Europe and not China then?  How do you explain barely any cases or deaths in China apart from in Wuhan?  When you need to resort to calling someone a bot you just demonstrate what an idiot you are.
2020-05-31 23:52:30+00:00,1,Twitter Web App,"@viralphenomics @franciscodeasis @Rossana38510044 @KhaledATalaat @joe14998477 @R_H_Ebright @BillyBostickson @luigi_warren @Ayjchan @_hoeman @Nomdeplumi1 @RolandBakerIII @johndifool23 @Real_Adam_B @TheSeeker268 @uacjess @AntGDuarte @PaulGodolphin @BioObject @Daoyu15 @JJ2000426 @_coltseavers @scottburke777 @still_a_nerd @jjcouey @Harvard2H @ydeigin @CarltheChippy @DefeatTheElites @ico_dna @nerdhaspower @DrAntoniSerraT1 Re: ""Evidence wuhan seqs aren't the founder:""

Thanks. Familiar with the paper, tho I didn't focus on it on this thread, since I expected to conspiracy theorists here to focus on the letters in reply to it."
2020-05-31 23:50:58+00:00,0,Twitter for iPhone,@_zzzin_ @NYGovCuomo You rather go find a job and pay taxes. Cause Wuhan virus damages our economy!
