Date Created,Number of Likes,Source of Tweet,Tweets
2020-03-31 23:59:57+00:00,0,Twitter for iPhone,"@dcexaminer @AmbassadorRice @mikepompeo I know dang well, you’re not out here shilling for the Communist agenda, do we even want to go down your track road of blunders and fiascos ambassador.. you couldn’t even get confirmed! That aside, Wuhan is a city, not a race just an FYI."
2020-03-31 23:59:51+00:00,0,Twitter Web App,"@JenLucPiquant We have better explanations than, ""The Jews are poisoning the water supply,"" as in 1348.  That's worse than calling COVID-19 the Wuhan virus, which can cause violence but not mass murder. The impulse to blame the ""other"" is still with us, though."
2020-03-31 23:59:46+00:00,30,Twitter Web Client,NYC Health Commissioner Told De Blasio to Get Serious on Efforts to Stop Wuhan Coronavirus Spread. He Refused. https://t.co/MoiANJFvdf
2020-03-31 23:59:33+00:00,0,Twitter for Android,"The evil PRC raids on critical supplies from overseas to enforce the Wuhan pandemic damages! 
https://t.co/cNaZFM9f19"
2020-03-31 23:59:29+00:00,11,Twitter for Android,@BradGeEEee @jasonKirkpatri5 @SidSnotNZ @Domenic_Toronto @RitaPanahi There was an article talking about multiple incidents involving scientists &amp; bat's at that Wuhan Lab... Normally they'd usually self isolate for 14 days. That Lab was around 8 minles away from the epicentre of the virus... At the end of Jan it was 21 miles away 🤔 https://t.co/LHUbdCDnug
2020-03-31 23:59:18+00:00,8,Twitter for Android,"#ChineseWuhanVirus
The Chinese government should be held accountable for all the damage caused by the Chinese Wuhan Corona virus. https://t.co/9PLRJlqTxS"
2020-03-31 23:59:07+00:00,0,Twitter for Android,@JenniferJJacobs The President blame shifts all the time nothing new. Like if pointing the finger to others going to help if ppl are going to blame then start woth Wuhan China that's where it came from. Leave NY and others out of it. To DeSantis do a statewide shut down NOW! Lives over Profit.
2020-03-31 23:58:31+00:00,6,Twitter Web App,"@End1913 @StormIsUponUs there's also toxic adren...etc - made in wuhan. 
some think it has a biological marker in it to 
indicate who has used it, so all the adren...etc
junkies who claim to have CV-19, actually are
cursed with a tainted product.  would be kinda
karmic, no?  biblical."
2020-03-31 23:58:22+00:00,1,Twitter for Android,"@KemiOlunloyo Hope they realize this is exactly what got the whole of Wuhan in trouble, what's with the deceit and lies??"
2020-03-31 23:58:14+00:00,0,Twitter for iPad,"@DrEricDing Fully credible. It ties to some few images with dead people on Wuhan streets, the sounded alarm given by Shanghai to OMS, death rate could not be similar to influenza, only if really prepared and better conditions on the ground"
2020-03-31 23:58:10+00:00,0,Twitter Web App,"@dcexaminer @AmbassadorRice It's shameful for you to have the gall to criticize anyone. Why can't people just love themselves for who they are and what they look like instead of constantly whining and looking for a chance to cry ""racism""? You are brown. China folks are Chinese. The virus came from Wuhan."
2020-03-31 23:58:02+00:00,0,Twitter Web App,Only 10 weeks ago the official global coronavirus caseload was 282 &amp; no confirmation of human-to-human transmission. A week later WHO confirmed human-to-human transmission &amp; offical caseload jumped to 1400. More than 2000 people had already flown from Wuhan to Sydney that month.3
2020-03-31 23:57:54+00:00,0,Twitter for iPad,"Wuhan doctor who went public over spread of coronavirus 'goes missing'
 https://t.co/iO7ZjyiWVo"
2020-03-31 23:57:49+00:00,16,Twitter for iPhone,all the authors of that soup of wuhan book are going against a wall
2020-03-31 23:57:40+00:00,0,Twitter for iPad,"Wuhan COVID-19 Death Toll May Be in Tens of Thousands, Data on Cremations and Shipments of Urns Suggest https://t.co/57iUkesGJN"
2020-03-31 23:57:37+00:00,0,Twitter for iPhone,@mitchellreports @AmbassadorRice It would be nice if china was telling WHO all the information since Communist19 virus started in wuhan. But to this day the national media complex &amp; the WHO has carried china’s water. (Or virus might be better)
2020-03-31 23:57:35+00:00,0,Twitter for iPhone,@TheGoosecast @go_saj @McChicken32 @racheljulie @NYGovCuomo Blocked air traffic from Wuhan and y’all yelled racism
2020-03-31 23:57:31+00:00,9,Twitter for iPhone,"@picardonhealth @globeandmail On a Webex this morning with experts from Wuhan, Bergamo Italy &amp; France, it was consensus that everyone should wear a mask when out &amp; about in the community. Homemade masks ok and better than nothing. Physical distance important. Has been policy in China since the crisis began."
2020-03-31 23:57:22+00:00,0,Twitter for Android,"@wuyiwuaa Patient Zero was already confirmed to come from Wuhan as per WHO and China by December last year, being an infected carrier as early as November. That alone is basis for origin for outbreaks."
2020-03-31 23:56:59+00:00,0,Twitter for iPhone,@DevinNunes I think that video of someone eating a bat cane from 2016 and wasn’t in Wuhan.
2020-03-31 23:56:50+00:00,1,Twitter for iPhone,"Battle of Wuhan, Covid-19 - Documentary [Trailer] https://t.co/onvfd8m5j2 来自 @YouTube"
2020-03-31 23:56:49+00:00,0,Twitter Web App,"@afneil It is impressive. We had an exhibition centre, perhaps Wuhan did not."
2020-03-31 23:56:47+00:00,0,Twitter for iPad,"Oh, thank God. For a minute there I thought there was a Wuhan virus outbreak in Altus, OK."
2020-03-31 23:56:43+00:00,0,Twitter for Android,"Japan us not much differet --- Real Virus Death Toll in Wuhan Could Be 12 Times Official Figure
https://t.co/CK4GmDw2hV
 
Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:https://t.co/iZ46iABOYl"
2020-03-31 23:56:41+00:00,0,Twitter Web Client,"Wuhan Locals Actually Believe 42,000 People Likely Died in https://t.co/9s2lwb4LLU"
2020-03-31 23:56:41+00:00,0,Twitter for iPad,Gravitas: Wuhan Coronavirus: Taiwan's big claim against WHO https://t.co/2OjB7zW0bd via @YouTubeTIAWANLOCKEDOUTOF WORLD HEALTH ORGANISAITON?......LET’S START A NEW WORLD HEALTH SCHEAM !
2020-03-31 23:56:31+00:00,2,Twitter for Android,@ndrew_lawrence I wonder.. did @CNN @ABC @NBCNews @CBSNews @MSNBC EVEN TALK ABOUT THE WUHAN FLU until AFTER the travel ban &amp; the Demonrats okayed them to talk about it ? I seem to remember watching Tucker every night show the other channels coverage for that day &amp; seeing nothing.. for WEEKS
2020-03-31 23:56:22+00:00,0,Twitter for iPad,"@liverpoolsone This is so scary and highly contagious 😷.  This virus started from Wuhan, China 🇨🇳 and spread throughout Italy.  Italy suicide themselves to protect their Chinese i
Investments and look what happened."
2020-03-31 23:56:22+00:00,0,Twitter Web App,"Emojis, Braille and 'Matrian' Language.

How some Chinese social media users are trying to sidestep the communist Party's strict online censorship since the #Coronavirus outbreak in #Wuhan.

#China #Covid19 #CovidXIx 

https://t.co/uwPg4uiqiO"
2020-03-31 23:56:21+00:00,0,Twitter for Android,"🤦🏾‍♀️ can't count it if there is no body.

Wuhan residents are skeptical of the Chinese Communist Party’s reported coronavirus death count of approximately 2,500 deaths in the city to date, with most people believing the actual number is at least 40,000.

https://t.co/2koCnMmmAQ"
2020-03-31 23:56:21+00:00,0,Twitter Web App,"@neontaster The Wuhan lab may be coincidence, or some ""conspiracy nonsense"".  Maybe its just the animal wet market source, so we can deal with that diplomatically with China.  We need to stop ever having these viruses that harm people and the economy.  The Harvard guy is a real story though."
2020-03-31 23:56:11+00:00,0,Twitter for iPhone,"@mjritchi2 Yes.
They are addicted to gambling called ”pachinko”.
They like pachinko better than protecting themselves from Wuhan virus."
