Date Created,Number of Likes,Source of Tweet,Tweets
2019-08-31 20:37:12+00:00,12,Twitter for Android,Next tournaments for Caro are Wuhan and Beijing also possibly Moscow.
2019-08-31 20:32:21+00:00,7,Twitter for iPhone,"Thank you again to our international students who traveled from the Chinese cities of Hangzhou, Wuhan and Yinchuan, to study with our @duarteusd scholars @Maxwell_IB and @royaloakssteam! We had a wonderful time learning and laughing with you! 🇺🇸 🇨🇳 https://t.co/9PG2hTTuPg"
2019-08-31 20:19:33+00:00,0,"Cheap Bots, Done Quick!",Wuhan become one of the top 10 global cities
2019-08-31 20:16:50+00:00,0,Twitter Web App,@PlishyArmy YE #1 reserved for Halep lbr. She gaining many points in Wuhan+Beijing &amp; WTA finals.
2019-08-31 19:58:02+00:00,0,dlvr.it,"Thai Restaurant Manager 泰餐厅经理: Sheraton - Wuhan, Hubei - At Sheraton, we go above and beyond in everything we do. We are inspired by our guests and one another – and are driven to make things better. We love what we do, and we give it all we’ve got… https://t.co/tr3tluJcwt"
2019-08-31 19:58:02+00:00,0,dlvr.it,"Training Assistant 培训助理: Marriott - Wuhan, Hubei - Marriott International portfolio of brands includes both JW Marriott and Marriott Hotels. Marriott Hotels, Marriott International’s flagship brand with more than 500 global locations, is advancing… https://t.co/VMft9nqCvs"
2019-08-31 19:12:14+00:00,0,"Cheap Bots, Done Quick!","Wuhan Handong is amazingly awesome, which is why you should stan them."
2019-08-31 18:55:07+00:00,0,NC News V2.0,Former UMC CEO to lead Wuhan Xinxin #DigiTimes #NocturnalCloud https://t.co/RighxMsFAZ
2019-08-31 17:45:21+00:00,12,Twitter for iPhone,"#boxing 
The Asian and Oceanic qualifiers for @Tokyo2020 will be held in Wuhan, China from February 3-14, 2020. The final qualifying event tentatively scheduled in Paris from May 13-24"
2019-08-31 17:28:39+00:00,0,Twitter Web App,"@CITY1051 @DsilentG @damilojusaliu Results from Game Day One at #FIBAWC2019 

Group A - Beijing
Cote d'Ivoire🇨🇮 (55-70) China🇨🇳 

Group B - Wuhan
Argentina🇦🇷 (95-69) Korea🇰🇷 

Group C - Guangzhou
Spain🇪🇸 (101-62) Tunisia🇹🇳

Group D - Foshan
Philippines🇵🇭 (62-108) Italy🇮🇹 

#SportCity #FIBAWC"
2019-08-31 17:27:36+00:00,0,Twitter for iPhone,@lillywithtwoLs hey ur bed in wuhan might be heaven too HAHAHAHHA
2019-08-31 16:28:37+00:00,2,Jetpack.com,A collection: Everyday life in Wuhan in 1959 https://t.co/DffldcvGzb https://t.co/UH16gqKZWI
2019-08-31 15:50:49+00:00,0,Twitter for Android,@manukumarjain @leijun @Xiaomi @XiaomiIndia Wuhan looks amazing
2019-08-31 15:00:12+00:00,242,Buffer,"Named after a poem of the Tang Dynasty, Qingchuan Pavilion was first built in the Ming Dynasty. Here is the only place in the Wuhan area that stands on the edge of the river and is known as the “No.1 building of Chu State”. #WuhanCulturalSeek #VisitWuhan https://t.co/CmkXXEi4wU"
2019-08-31 14:52:03+00:00,14,Twitter for Android,"RESULT: Jiangsu Suning 1-0 Wuhan Jianghan Uni.

A Tang Jiali assist helped Jiangsu move seven points clear at the top of the #CWSL.

@AmaPele10 also featured for the league leaders. @wangshuang7 started for Wuhan. #RWMGSports https://t.co/plDMxfo98E"
2019-08-31 14:49:53+00:00,12,Twitter Web App,"#CWSL | Jiangsu Suning 1-0 Wuhan Chedu Jiangda

Jiangsu returned to the winning days thanks to a Yang Li's second half goal. Second of the season for the striker who replaced Tabitha Chawinga in the starting lineup. Four defeats in a row for Wuhan, now on 5th place. https://t.co/cykSjNziRA"
2019-08-31 14:25:14+00:00,0,Twitter Web App,"Team Wuhan (Group B)

1st game: Russia 🇷🇺 defeats Nigeria 🇳🇬 - 82-77
2nd game: Argentina 🇦🇷 defeats Korea 🇰🇷 - 95-69

#FIBAWC #FIBAonESPN5 #WorldGotGame @FIBA @FIBAWC @Sports5PH @TV5manila"
2019-08-31 14:03:42+00:00,0,Twitter for Android,@manukumarjain @leijun @Xiaomi @XiaomiIndia #wuhan looks like heaven.
2019-08-31 13:31:35+00:00,3,Twitter for Android,#FIBAWorldCup2019 en Wuhan. Terracita y mixed species. https://t.co/mkxku0cGoN
2019-08-31 13:11:09+00:00,2,Twitter Web App,"I love this comic by CalArtian Ramona Chen about her summer internship at Taiko Studios in Wuhan 😂
https://t.co/hTYVeubUKH"
2019-08-31 12:38:06+00:00,0,Twitter Web App,"SATURDAY, AUGUST 31st, 2019.

--- ARGENTINA. Vs. Corea del Sur. FIBA BASKETBALL WORLD CUP, CHINA 2019. GRUPO B, FECHA 1 DE 3. WUHAN GYMNASIUM, WUHAN (China). 9:30 AM (Arg.). - 7:30 AM (Col.). https://t.co/RypoH6wl7V"
2019-08-31 12:37:42+00:00,0,Twitter Web App,"SATURDAY, AUGUST 31st, 2019.

--- ARGENTINA. Vs. Corea del Sur. FIBA BASKETBALL WORLD CUP, CHINA 2019. GRUPO B, FECHA 1 DE 3. WUHAN GYMNASIUM, WUHAN (China). 9:30 AM (Arg.). - 7:30 AM (Col.). https://t.co/rtP93SID6q"
2019-08-31 12:35:52+00:00,34,Twitter for Android,"ARG v KOR started, and Luis Scola got a huge, HUGE ovation when introduced to some 6k people in the stands in Wuhan. Hits a 3pt straight away and I wanted to say that he really is a legend in China but then I remembered that it's Scola and he's a legend everywhere tbh
#FIBAWC"
2019-08-31 12:21:07+00:00,0,Twitter for Android,"Go #Gilas
From Canada to Wuhan, I'll always support Gilas. 💙❤💛"
2019-08-31 12:02:45+00:00,0,Facebook,"FIFA World Cup China 2019

KOREA vs. ARGENTINA - Wuhan Sports Center Stadium에서 https://t.co/GEGItj5ens"
2019-08-31 11:44:51+00:00,0,Twitter for Android,@manukumarjain @leijun @Xiaomi @XiaomiIndia #Wuhan University is beautiful. But Delhi #IIT is great. Jai hind.
2019-08-31 11:35:45+00:00,56,Twitter Web App,"@MikeKulagin @Chimezie_Metu @nbbfonline What a #FIBAWC opener in Wuhan. @nbbfonline 🇳🇬 battle through, but @russiabasket 🇷🇺 claim the thrilling, 82-77 victory!

#RUSNGR https://t.co/eSVAMxW0k4"
2019-08-31 11:15:00+00:00,192,TweetDeck,Breathtaking sunrise upon the East Lake in central #China’s Wuhan City on Saturday morning https://t.co/wdq8rGuBhQ
2019-08-31 11:07:03+00:00,0,IFTTT,World Cup - 2019 World Cup: Russia outlast Nigeria in Wuhan https://t.co/6PCzQNvsT0
2019-08-31 11:01:18+00:00,0,Twitter Web App,Okay~ finally I'm gonna watch the full/almost full? NPC concert in Wuhan~ the famous NPC cosplay concert. NEED TO PREPARE MY HEART!
2019-08-31 10:33:15+00:00,0,Twitter Web App,"Final moments in Wuhan

Russia stretch their lead, 79-75 at the moment

13.3 secs left to play
#SportCity #NigeriaGotGame #FIBAWC"
2019-08-31 10:08:01+00:00,3,Twitter for Android,@asap_sonter Tell me you're in Wuhan watching the boys get buckets. Per @BballNaija 🇳🇬🏀💯🔥👌
2019-08-31 09:34:45+00:00,0,Instagram,Reports from Wuhan Gymnasium China 🇨🇳 at the FIBA Basketball world Cup. #Nigeria's D'Tigers is trailing the #Rusian #basketball team by 5point at the end of 2nd quarter. #Angola as the first #African team to loose… https://t.co/ZtxQwlzgN5
