Date Created,Number of Likes,Source of Tweet,Tweets
2019-11-30 21:01:15+00:00,31234,Twitter for iPhone,"Wuhan Science and Technology Museum, China https://t.co/unRHPLftam"
2019-11-30 21:00:25+00:00,0,Twitter Web App,@PaulGavigan4 @CNN The shooter Kyree Truax is African American.. now get in the back of the bus where you belong.
2019-11-30 20:56:14+00:00,0,IFTTT,#Job: #Englishteachingjob - #Wuhan. Requirement    Native English teachers are from USA  UK  Canada  Ireland  Australia  New Zealand  Na... https://t.co/OLVQ9gJNCa
2019-11-30 20:56:00+00:00,0,Twitter Web App,@sharonlynnek @realDonaldTrump 0 Scandals?? CNN tell you that?
2019-11-30 20:40:56+00:00,0,Twitter Web Client,Wuhan-Shiyan high-speed railway put into operation - Xinhua | https://t.co/3FafTJqCFI.cnhttp://www.xinhuanet.com/english/2019-11/29/c_138593702.htm#0-twi-1-48475-7250227817ecdff034dc9540e6c76667
2019-11-30 20:08:03+00:00,0,Twitter for iPhone,Visit to Wuhan Technology Museum and Hankou Park || Talk with Ria https://t.co/gzvh3Xx10n via @YouTube
2019-11-30 19:58:54+00:00,0,Twitter Web Client,191123 WayV Wuhan FM “Take Off ” TEN focus https://t.co/5K2wYm0Z4R via @YouTube
2019-11-30 19:27:00+00:00,0,Jetpack.com,Wuhan Zall vs Hebei China Fortune 2019-12-01 Chinese Super League Football Soccer Pick Predictions Betting https://t.co/pSPNS8VSyh
2019-11-30 19:18:14+00:00,0,Twitter Web Client,Way V 威神 love talk focus Fanmeeting Tour in Wuhan https://t.co/ONkFhcAayM via @YouTube
2019-11-30 18:23:07+00:00,0,Twitter for Android,"@robert_spalding That happened in WuHan too....😢
#BoycottChina
#China70years
#StandwithHK"
2019-11-30 18:20:15+00:00,0,Twitter for iPhone,I hope these protests don’t fall like the Wuhan protests did 5 months ago
2019-11-30 18:18:57+00:00,0,Twitter for iPhone,191123 WayV Fanmeeting in Wuhan - Love Talk(Xiaojun Focus) https://t.co/SUOkc1RFWR via @YouTube
2019-11-30 18:18:21+00:00,0,"Cheap Bots, Done Quick!",Wuhan become one of the top 10 global cities
2019-11-30 18:16:16+00:00,0,Twitter Web App,"First Hong Kong... then near Wuhan, Hubei... now across the border in Huazhou, Guangdong.  Little fires everywhere..."
2019-11-30 18:00:05+00:00,33,Buffer,"The first train of Wuhan-Shiyan high-speed railway leaves from Hankou Railway Station in Wuhan, central China's Hubei Province, Nov 29. Wuhan-Shiyan high-speed railway was put into operation on Friday. https://t.co/52EQvJZaSN https://t.co/tgVicMTynY"
2019-11-30 17:49:13+00:00,0,Twitter for iPad,191123 WAYV Wuhan FM “LOVE TALK” TEN focus https://t.co/mbattCNfe9 ผ่าน @YouTube
2019-11-30 17:03:25+00:00,0,Twitter Web App,@JimOfficious @Myoldcars @CNN Weird... I didn't have any Russians in my voting booth telling me who to vote for.
2019-11-30 16:09:41+00:00,0,Twitter Web Client,191123 WayV Fanmeeting in Wuhan - Love Talk(Xiaojun Focus) https://t.co/AcBSpcL0Ov via @YouTube
2019-11-30 15:27:41+00:00,0,Twitter Web App,"@Apple5443 Liu once was a PH.D. candidate in Wuhan University, studying Chinese history. He must have spent quite some time on it. Some of his comments on current Chinese political, social, and economical situation is insightful."
2019-11-30 15:00:09+00:00,33,Buffer,"Winter is coming. It is so good to have a meal with friends, especially having a hot pot! Wuhan hot pot has its unique characteristics, not too spicy or flat but more fragrant. It reminds you what Wuhan feels like, kindly and hospitable. #VisitWuhan #ABiteOfWuhan https://t.co/qZfVnFcSOb"
2019-11-30 14:38:16+00:00,0,TweetCaster for Android,"ดู ""191123 WAYV Wuhan FM “LOVE TALK” TEN focus"" ใน YouTube - https://t.co/ae81w2a2Tw"
2019-11-30 14:23:12+00:00,0,Twitter Web App,@BenWoolridge1 @_KayakSlammr @DrChipAbbadessa @CEEEECEECC @CNN records showed? Do you have link to these records? I would love to read more about it.
2019-11-30 14:11:50+00:00,0,"Cheap Bots, Done Quick!","Wuhan Handong is seriously beautiful, which is why I dream of her."
2019-11-30 14:11:20+00:00,0,Twitter Web App,‘Analysis of the blood index in 106 imported falciparum malaria cases in Wuhan’ an article on #ScienceOpen: https://t.co/NdILRJHLGU
2019-11-30 13:02:39+00:00,0,Twitter for iPad,191123 WAYV Wuhan FM “LOVE TALK” TEN focus https://t.co/8OXvtVBuy0 ผ่าน @YouTube
2019-11-30 12:47:08+00:00,460,Twitter for iPhone,"191123 FAN MEETING📍WUHAN | HQ

#KUN #钱锟
#WayV #威神V https://t.co/shDHc4HSCi"
2019-11-30 12:09:13+00:00,0,Instagram,"Worm 🐛 in China 🇨🇳- no thanks @ Wuhan, China https://t.co/tW1H5srYqt"
2019-11-30 11:47:56+00:00,2,Instagram,"First stop: Guiyuan Buddhist Temple (Temple of Original Purity)

Appreciation post to my Wuhan Crew! I’ll always remember our HUGOT moments! Can’t wait to edit my vlog about it! Lol!😝

#wuhan… https://t.co/OwuTFZdoLq"
2019-11-30 11:00:35+00:00,0,SocialOomph,"Nanjing and Wuhan, both on the Yangtze River, are known for their plum blossom.  https://t.co/9hWXZUU4KU China Travel Yangtze Cruise https://t.co/c99DzYtqxQ"
2019-11-30 10:07:12+00:00,57,Twitter for iPhone,Lob thought he could come to Wuhan for just 1 night...guess who just missed his flight 🤪
2019-11-30 09:12:27+00:00,0,Instagram,"Just posted a photo @ Wuhan, China https://t.co/sZwi078BC1"
2019-11-30 09:02:16+00:00,0,Twitter for iPhone,@Mascherano so pity that you will not come to wuhan on Sunday
2019-11-30 08:00:00+00:00,0,TweetDeck,World Speed Reading Championship done - on the bullet train to Wuhan! Looking forward to meeting all our friends very soon !  @Tony_Buzan @Times_Chess @WMemoryChamps @MindMapsExpert @KeeneObe @PhilChambers2 #WMC2019 https://t.co/oxUCPnu2Js
