Date Created,Number of Likes,Source of Tweet,Tweets
2021-03-31 23:59:17+00:00,0,Twitter for iPad,"@mikepillsbury There’s a long history of viruses escaping from labs, and not just in China. The WHO has a lot to hide. And there is a rather strong case that Covid came from the Wuhan lab.

https://t.co/ZG5Oleqkpp"
2021-03-31 23:58:49+00:00,0,Twitter for iPhone,"@TuCaoFakeNews 💥The 3rd Yan Report is published

The Wuhan Laboratory Origin of SARS-CoV-2 and the Validity of the Yan Reports Are Further Proved by the Failure of Two Uninvited ""Peer Reviews""
Link:
https://t.co/peWYiWPAnE…
#COVID19
#UnrestrictedBioweapon 
#LimengYan @DrLiMengYAN1 
#ccpvirus https://t.co/ZvSMyVSMhH"
2021-03-31 23:58:48+00:00,0,Twitter for iPhone,"@stinky_food @HuXijin_GT That wuhan lab was conducting dangerous gain of function research on bat coronavirus with pandemic potential. the lab leak theory is the strongest possibility IMO. China is hiding something with regards to that Wuhan lab, that why WHO experts were hardly allowed there"
2021-03-31 23:58:07+00:00,3,Twitter Web App,"@PaulMcM78 @SkyNews Fuck, give me £50, a packet of Skips (multipack) and a can of Monster, I'll write an more accurate report than the WHO...🤣🤣🤣
In fact I'll do it for free...It came from WUHAN, CHINA."
2021-03-31 23:56:58+00:00,2,Twitter Web App,"@StevenWMosher The lab leak theory is another decoy, another layer of Chinese propaganda and deception, designed to hide a much bigger crime: Covid was an act of war, and Wuhan was a Truman Show, a smokescreen to release a bio weapon. “All warfare is based on deception” — Sun Tzu."
2021-03-31 23:54:05+00:00,0,Twitter Web App,Fauci's Agency STONEWALLS on Wuhan Lab--Judicial Watch SUES https://t.co/uzkNYstBQA via @YouTube
2021-03-31 23:54:02+00:00,0,Twitter for Android,@OANN Let me make this simple.  The Covid-19 virus got out of a Wuhan Lab. Now.  Let's do whatever we need to do about China!
2021-03-31 23:53:32+00:00,10,SocialFlow,"Ohio’s lieutenant governor is digging in his heels on a tweet in which he referred to COVID-19 as the “Wuhan virus.""  https://t.co/wUYTQvSsgm"
2021-03-31 23:52:04+00:00,0,Twitter for iPad,"Steve an ex-corporal in the #RoyalSignals  chats to #comedian #PresidentObonjo #realObonjo about wearing a #uniform as a #comic

#tbilisi #ahmedabad #pune #dubai #hôian #thànhphôhôian #dongguan #wuhan #osaka #kyoto #tokyo #hiroshima #sapporo #nagoya #kobe

https://t.co/1PWYb2nLW6 https://t.co/uvzghxwgEa"
2021-03-31 23:51:13+00:00,0,Twitter Web App,".
🔊 ""Asian Americans"" = CCP
- Just asking 

⚡ Wuhan Virus
- precisely correct. Stop screaming!

 💯 ""Asian Americans""
- pen a letter to xitler about Hong Kong
◽

Asian Americans pen letter to Ohio Lt. Gov. over tweet that 'raised the anxiety and fear' https://t.co/732j1fhLrP"
