Date Created,Number of Likes,Source of Tweet,Tweets
2021-04-30 23:59:21+00:00,1,Twitter Web App,"@NumbKhopdi @PDChina The World Health Organization has confirmed that the COVID-19 does not come from Wuhan. If you have something to say, wait for the United States to open Fort De Crete."
2021-04-30 23:58:03+00:00,8,Twitter for iPhone,"Just a note that a person’s having gone to medical school, running a hospital and/or working as a ‘medical professional’ (a category that (LOL) includes me) does not actually endow one with special knowledge or insight into whether/to what extent/when masks stop the Wuhan virus"
2021-04-30 23:57:50+00:00,0,Twitter Web App,"""..to conduct a full scientific and forensic investigation into all possible origins of COVID-19...""
Scientists ask for Wuhan records https://t.co/Nl1xagMRNl"
2021-04-30 23:57:20+00:00,169,Twitter for iPhone,India is the new Wuhan.
2021-04-30 23:56:42+00:00,9,Twitter for iPhone,@CTVNews Didn’t we learn from Wuhan lab. We know these BS ends up hurting people and then there will be a study for us to learn from our mistakes.
2021-04-30 23:56:20+00:00,0,Twitter Web App,Flip-flopping? Fauci now insists Wuhan coronavirus outdoor transmission is low https://t.co/DwCvy4g4LK
2021-04-30 23:52:46+00:00,38,TweetDeck,@kailashagouda13 Ignoramus! Responsibility is to report the truth. Action is for Government. I made Govt admit that it allowed Wuhan Univ [with TIFR] to illegally carry out Bat research on virus in Nagaland. Committee also gave a report on gross shortage of Oxygen for hospitals. Govt did nothing.
2021-04-30 23:51:56+00:00,3,Twitter for iPhone,"Important to remember when covid raged in Wuhan, the fed govt operated flights for AUS citizens under AUSMAT. Concurrent constitutional powers between the fed/states facilitated a cooperative effort. Vax q’tine, borders &amp;  now India proves that we’ve lost that spirit. (pic Oz) https://t.co/28FZBZJt41"
2021-04-30 23:51:25+00:00,1,Twitter for Android,@SayNoToSino I have a friend who traveled by plane directly from Wuhan to enter University in Australia with no quarantine . . . nothing . . . January 23 or 24  2020.
2021-04-30 23:50:54+00:00,1,Twitter Web App,"@Suzy1776 They pulled the same bs psyop with Wuhan Jan 2020, I fell for it then. Not this time."
2021-04-30 23:44:01+00:00,0,PoliTweetBot,"A new high speed train will run on time between #Chongqing and Wuhan, the first since 1999 https://t.co/UiQj45ORHA"
2021-04-30 23:43:19+00:00,0,Twitter for iPhone,"Yes, Covid-19 is originally known Wuhan virus. The name shouldn't be changed as it originated in China. The coronavirus crippled us. Look what China did to the world? What a distraction! Have you ever seen them apologize for it? NO. 😡"
2021-04-30 23:41:29+00:00,1,Twitter Web App,"@RedneckDutch Gelijke monniken, gelijke kappen. I wonder what Ramadan will do for Wuhan-virus infections. Middle-easterners seem to be hit harder. Also middle east christians."
2021-04-30 23:36:24+00:00,3,Twitter for iPhone,"4. 2016 RD 3 in Wuhan. Kvitova defeated Kerber 67(10) 75 64. Kerber was playing her first tournament as World Number 1, and Kvitova had to play her absolute best to stop her. Petra was cramping at the end but managed to hit her way through to get the win! https://t.co/Gi7hHa15mO"
2021-04-30 23:36:05+00:00,0,Twitter for Android,"@halkafulkaa_ @China_Amb_India At that period, Wuhan is paused, all the road and street nearly no people there, only ambulance car and goods truck on the road."
2021-04-30 23:35:46+00:00,1,Twitter Web App,Don't know whether to laugh or cry.  Now the Wuhan virus brought to India from the UK is an Indian virus that China is worried about :)
2021-04-30 23:35:39+00:00,1,Twitter for iPhone,@ThePreityEffect No since it would be considered racism! The same way it’s racist to call the Chinese or Wuhan coronavirus but ok to call the Indian or UK variant 😂
2021-04-30 23:35:01+00:00,0,Twitter Web App,"@CheetoSantino Making fun of that clerk on the spectrum during the @joerogan show was not cool, man.
But cudos on getting Wuhan flu AND vaccine, just like Bad Orange Man!"
