Date Created,Number of Likes,Source of Tweet,Tweets
2021-11-30 23:59:46+00:00,0,Twitter for Android,"@StereotypGasman How much were you paid?
My friend died of Cancer because of people like you. Thanks to 'your' BS, her appointments were cancelled &amp; her Secondaries were too advanced.
COVID19 is a bio weapon virus. A.I. made in Wuhan laboratories, funded by Faucci. (All proved in US Courts). 🤬"
2021-11-30 23:59:13+00:00,0,Twitter for iPhone,Bron got the wuhan smh
2021-11-30 23:56:56+00:00,0,Twitter Web App,"one correction, his illegal action to transfer gain-of-function technology to Wuhan..."
2021-11-30 23:55:45+00:00,0,Twitter for Android,"@BristOliver The existing virus (let's call it Wuhan) had a base R0 of something like 2.5. Alpha was closer to 4. The restrictions in November + then December were strong enough to get Wuhan R0 down to below 1, but not strong enough to do the same to Alpha."
2021-11-30 23:55:31+00:00,4,Twitter for Android,Is it just me or does anyone else believe Fauci simply makes it up when asked hard questions? I'm having trouble believing anything he says because of his role with coronavirus research in Wuhan China. #WorldNewsTonight @NBCNightlyNews  @CBSNews @FoxNews
2021-11-30 23:53:04+00:00,1,Twitter Web App,@XHNews Something Wuhan should have done.
2021-11-30 23:52:30+00:00,0,Twitter for Android,@disclosetv Im doble vaxed and now passing covid wuhan chinese 2019 virus
2021-11-30 23:50:14+00:00,0,Twitter for iPad,"🔴 3/3 Global #Omicron CASES 
1 Dec 2021, 1.00

*#Confirmed 243 (#Probable 1,256)

-France (8)
-Finland (2)

NEW: #SouthAmerica #Brazil🇧🇷 has 1st #B11529 case today. Share% between female👱‍♀️ and male👱‍♂️ more equal. Like in Wuhan, most infected🦠 are in traveller-age.

#BeSafe❤️ https://t.co/yjwI7wmlaW"
2021-11-30 23:41:45+00:00,0,"Cheap Bots, Done Quick!",Wuhan become one of the top 10 global cities
2021-11-30 23:41:37+00:00,124,Twitter Web App,"Lude Media  11/ 30, 2021 

1.Back in December 2019 Wuhan CDC Once Recommended Emergency Quarantine Measures

2.Wuhan CDC Suggested Reporting to WHO in the First Place on December 26, 2019 But Was Suppressed by CCP

3.Virus Will Never Stop Till the CCP Is Terminated https://t.co/AVcnI0cURq"
2021-11-30 23:41:35+00:00,3,Twitter for iPhone,Should people respect the “science” discovered by the human experimentation of Dr. Mengele? How is he different than Fauci who provided gain of function funding to Wuhan leading to COVID &amp; the deaths of millions? Also Fauci tortured dogs
2021-11-30 23:41:23+00:00,3,Twitter Web App,"@remid0d0s0 @BNODesk You have to understand their lockdown wasn’t just Wuhan. It was like a monthlong lockdown for like 8 billion people. 

I think covidzero can still happen because not every case is a superspreader. If you contain covid early enough you won’t even hit a spreader."
2021-11-30 23:41:06+00:00,2,Twitter Web App,"@XHNews XiJinping's and CCP's ""gift"" to the World just keeps on giving.

Instead of containing the original COVID outbreak in Wuhan, XiJinping and Co. let all travel continue for six weeks after notification to protect their guanxi during the 2020 Spring Festival."
2021-11-30 23:40:28+00:00,5,Twitter Web App,@Ayjchan It's much easier to destroy evidence from controlled environment like a highly secured research lab than a wet market in Wuhan with all the different suppliers of meats and animals from different places in China. Why is Fauci focusing on the wet market again?
2021-11-30 23:37:54+00:00,2,Twitter for iPhone,Tony Fauci provided Gain of Function funding to Wuhan enabling them to develop the COVID virus which has killed millions. Respecting dog torturer &amp; mass murderer Fauci is like revering the medical experimentation expertise “science” of Dr. Mengele.
2021-11-30 23:35:53+00:00,0,Twitter for iPad,"Why hasn’t China been held accountable for the over 5 million murdered people worldwide from the Wuhan virus. Why is China given the honor of the Olympics as they enslave the Uygher people, threaten Hong Kong and Taiwan?"
2021-11-30 23:35:31+00:00,2,Twitter for Android,"Follow the money 
#Omicron #Wuhan #SayNoToTheJab https://t.co/JiVJCDBM1Q"
2021-11-30 23:34:30+00:00,0,Twitter for Android,"@RoseWoodweird @UjNoChLnE @kayleighmcenany @SharriMarkson: I did an analysis of all the scientific  papers from the Wuhan Institute of Virology and more than 60 projects were funded by the NIH [National Institutes of Health] … so Fauci absolutely knew what was going on there, but what officials were telling me is … he"
2021-11-30 23:34:26+00:00,0,Twitter for Android,"Why should we care about what we call all these different variants of the WUHAN,CHINESE VIRUS NAME WHEN CHINA CREATED IT SO WHY NOT NAME THEM AFTER THEY'RE CREATER, THE Xi variant works better for me! OR MAYBE THE Xi/ Fauci variant !!"
2021-11-30 23:31:56+00:00,1,Twitter for iPhone,"Classic baited news to send a certain message. Soon, Wuhan will be all but forgotten"
2021-11-30 23:31:01+00:00,0,Twitter for Android,"White man ""will this antivirus protect me from the Wuhan virus? The one from China? I know YOU know""
Me ""you mean Corona virus? No it will not it only works for your computer""
White man ""you're taking it too literally. It's supposed to me funny""
Me ""it's not funny to me"""
2021-11-30 23:30:28+00:00,0,Twitter Web App,"FAUCI is a liar who aided CHINA in murdering millions whether the virus escaped or was deliberately released. He admitted funding WUHAN and ""trusted"" that our worst enemy would not conduct gain of function experiments. He should be indicted for aiding and abetting mass murder."
2021-11-30 23:28:46+00:00,0,Twitter Web App,@Dragonssitter @Unusual_Times What is the data for the original Wuhan variant? The vaccine doesn't stop transmission of delta but I don't think I've seen data for the original virus - is there data on transmission for that?
2021-11-30 23:28:36+00:00,0,Twitter Web App,"Dec 12, 2019, a cluster of patients in Wuhan, Hubei Providence, China began to experience COVID-19 symptoms. Two years now since start of the Wuhan Virus Pandemic. Isaachian Nations must abide by Order of Heaven, hold China accountable for Global damage. https://t.co/Qst6zOxOE4"
2021-11-30 23:27:54+00:00,1,Twitter Web App,@AGHuff @MJnanostretch What's crazy is we had that leak that showed EcoHealth Alliance collecting bat COVID samples from Laos and sending them to Wuhan to have furin cleavage sites inserted. He knew that and didn't mention it in the WHO report.
2021-11-30 23:25:28+00:00,2,Twitter for Android,"@BarackObama Watch out kids.  Fauci &amp; Obama funded the research in Wuhan that probably gave us covid.  And of course Obama promised to help working people as President, but he helped the rich and got PAID for it.  
#FauciLies
#ObamaDroneStrikes
#ObamaNotYourFriend
#ObamaMonumemt"
2021-11-30 23:23:41+00:00,1,Twitter Web App,"Bill &amp; Melinda Gates Foundation has funneled over $54 million to fund “global health” projects in China, including to institutions controlled by the Chinese Communist Party (CCP) and Wuhan Institute of Virology collaborators"
2021-11-30 23:23:17+00:00,1,Twitter for Android,@TM0s41 His only connection to Wuhan is what's invented by rightwing media.
2021-11-30 23:22:54+00:00,0,Twitter for Android,"Positive PROOF Of American Government Research On Coronavirus From Bat Poop 
Found In Chinese Bat Caves
By Wuhan Institute Researchers.
Paid For By Our Government.
This Is COVID 19's Origin!!!
It Was Engineered By Wuhan 
For Anthony Fauci."
2021-11-30 23:22:02+00:00,0,Twitter Web App,@FaceTheNation No one trust him anymore. He states he only care about helping the American people than why did he fund Wuhan Lab. Why was the first thing he did after the story broke was to call the scientist at that lab?  He's a crook.  I bet he owns stock in the pharmaceutical industry.
2021-11-30 23:20:57+00:00,0,Twitter for iPhone,"@DrEricDing So that makes all this border closing useless,this is just a lesson to all countries if they find a new variant as long as you are not an EU country or China or America do the WUHAN trick which is keep it a secret don’t tell the world about it"
2021-11-30 23:19:47+00:00,3,Twitter for iPhone,The framework for The Great Reset UN 2030 agenda was financed by plutocrats such as Tony Fauci who provided gain of function funding to Wuhan leading to COVID &amp; the deaths of millions. They need you to remain indoors &amp; comply while they enrich themselves…
2021-11-30 23:19:32+00:00,0,Twitter for Android,It's giving COVID-19 found in Spanish sewers before Wuhan
2021-11-30 23:17:37+00:00,8741,Twitter for Android,"This guy:

-botched the HIV epidemic
-tortured dogs
-funded GOF research in Wuhan
-lied to Congress 
-lies about everything
-pushed policies that destroyed millions of Americans' lives
-claims HE IS THE SCIENCE 

And he is still on TV and considered a 'hero'.

OK America."
2021-11-30 23:17:00+00:00,0,Twitter Web App,"A newly released document shows that drug giant Pfizer added a secret heart attack drug to the children’s version of its Wuhan coronavirus (COVID-19) vaccine. 
#auspol 
#CovidVaccine 
https://t.co/nra0YgX9z2"
2021-11-30 23:13:09+00:00,0,Twitter Web App,SPECIAL INVESTIGATION: What Really Happened in Wuhan https://t.co/PCGB7arKGy via @YouTube
2021-11-30 23:12:59+00:00,0,Twitter Web App,"#Omicron or #OMEGA...Heston is the man for the job!
#movies #Wuhan #WuhanMovies #China #Variant https://t.co/ZDGItfckGY"
2021-11-30 23:12:48+00:00,6,Twitter for iPhone,"@secupp Fauci injected orphans with Aids drugs,funded Wuhan gain of function causing pandemic, funded beagles getting vocal cords  cut so researchers didn’t have to hear them cry as their faces were eaten alive by bugs &amp; backed Pitt sewing aborted baby scalps on lab rats. USA Dr. Mengele"
2021-11-30 23:10:45+00:00,1,Twitter Web App,"@D_Dobrovetsky @crimsum @DrEliDavid 😭😭 Now send me the chart how many people killed by wrong treatment at hospitals. Do u believe the 'Science' backed by politicians? I tell u what,US Dollar is fuckd up,they're looking for a reasn to cover it up, and the reason is Covid-19 Handmade Virus in Wuhan by US Government"
2021-11-30 23:08:10+00:00,0,Twitter for iPhone,@Neil14994724 @Sugarypieme @JamesMelville @neil you should be there is little risk media panic driving fear remeber all the pictures of people dropping dead in the streets in wuhan we now know that’s very impossible that doesn’t happen get a grip
2021-11-30 23:07:12+00:00,94,Twitter for iPhone,Chinese Labs in Wuhan are contacting me for samples of my yellow pillow https://t.co/r2kf58izXl
2021-11-30 23:05:18+00:00,3,Twitter Web App,I was hanging out with a really nice guy and his family in Wuhan China. They make the best beef noodle soup ever! https://t.co/ohRrlUHNol
2021-11-30 23:04:46+00:00,0,Twitter for iPhone,@zerohedge Why isn’t fauci being held accountable for lying to congress and funding gain of function research at the wuhan lab? He’s a big reason we are in this mess.
2021-11-30 23:04:41+00:00,0,Twitter for iPhone,"@AnonymeCitoyen @LIVE1TV This scene is just like the Wuhan incident, it's definitely a perception and a lie."
2021-11-30 23:03:07+00:00,0,Twitter for Android,"@Cissie57911488 @JunSun11339683 @POTUS Forgot to mention, 2 weeks ago? Covid has been out for a lot longer then that also, gain of function research was going on in a Wuhan lab that was funded by us taxpayer money, with us scientists and Chinese, possibly more. With this they were testing possible 1/2"
2021-11-30 23:02:39+00:00,4,Twitter Web App,"In the #Wuhan Lab they apply gain of function to SARS viruses from bats. This work “improves the ability of a pathogen to cause disease” to humans.

Why is the US collaborating with the development of Chinese biological weapons?  https://t.co/soJ0GpifxF"
2021-11-30 23:02:07+00:00,4,Twitter for Android,"Geomorphological and Land Use Map of the Wuhan Area, China (1979). #China #geography #urbanization #武汉 https://t.co/fQIrh0hscb"
2021-11-30 23:01:57+00:00,0,Twitter Web App,"#China has reported to WHO a cluster of #pneumonia cases —with no deaths— in Wuhan, Hubei Province 🇨🇳 . Investigations are underway to identify the cause of this illness."
2021-11-30 22:57:51+00:00,0,Jetpack.com,"First Known Covid Case Was Vendor at Wuhan Market, Scientist Says https://t.co/3FIlJiaSR8"
2021-11-30 22:57:26+00:00,0,Twitter Web App,@talker2002 @dustinrgodfrey she also pronounces car as cahr so I wouldn't trust her pronunciation of what should have been the Nu or Xi variant of the Wuhan virus
2021-11-30 22:55:51+00:00,1,Twitter Web App,@WuhanPlus Welcome to Wuhan! Hope the collaboration will be enhanced!
2021-11-30 22:55:34+00:00,5,Twitter Web App,"I continue to wonder about the absence of criticism of the Wuhan covid virus and its impact on mankind and why the World's media, doesn't put the boot in? 

Perhaps the World's media is conspiratorially strapped by major powers who are dependant on China; it's called soft power!"
2021-11-30 22:54:06+00:00,3,Twitter Web App,"@JeremyFarrar Not that I'm aware of.

Wuhan COVID started nasty, but Alpha was nastier, and then Delta was nastier still.

If I recall correctly, initial SARS-CoV-1 spillover events were relatively mild until the virus became human-adapted."
2021-11-30 22:52:10+00:00,0,Twitter Web App,Do you think Wuhan/China might release an upgraded version or service pack for their homemade #COVID ;-)
2021-11-30 22:51:02+00:00,1,Twitter for Android,@euronewsgreen Haven't China and its laboritories done enough? #Chinese #COVID19 *#Wuhan
2021-11-30 22:48:13+00:00,0,Twitter Web App,"A newly released document shows that drug giant Pfizer added a secret heart attack drug to the children’s version of its Wuhan coronavirus (COVID-19) vaccine. 
#auspol 
#CovidVaccine 

https://t.co/je5VE7mp6y"
2021-11-30 22:48:09+00:00,7,Twitter Web App,"@justin_hart ""The war against CoVID"" means ""the war on the Common Cold.""  CoVID is Coronavirus Infectious Disease, most of which is the Common Cold.  The #OmnicronVariant has not been shown to be related to the actual Wuhan Coronavirus, SARS-CoV-2, which has also not been isolated. #Scamdemic"
2021-11-30 22:45:55+00:00,0,Twitter Web App,"@matpmod @JRLOakley Do you think ""Covid"" itself has ever made any sense since it began as Wuhan bat soup flu...?"
2021-11-30 22:45:46+00:00,0,Twitter for Android,@Panosfrmgoranos @tedcruz I suggest you read Fauci's personal emails where he discusses among other topics how masks do not work and that he did fund the gain-of-function research in the Wuhan lab in China.
2021-11-30 22:45:11+00:00,0,Twitter for Android,@seanhannity Why hasn't anyone said a thing about Pfizer's virology lab in Wuhan?
2021-11-30 22:44:15+00:00,2,Twitter for Android,"@cnni Omicron is a metaworld virus that can travel using virtual reality.

It's a high tech virus that was tweaked using cyber technology, in a lab in Wuhan.

Omicron has many mutations, It's driving medical scientists crazy

When a cybervirus is invented, it has metamorphosis ability!"
2021-11-30 22:41:04+00:00,0,Twitter Web App,SPECIAL INVESTIGATION: What Really Happened in Wuhan https://t.co/dHBBk5to6B via @YouTube
2021-11-30 22:40:49+00:00,16,Twitter for Android,"When the virus first appeared ,I had a whole bunch of saved and scary videos that emereged from Wuhan.
Twitter deleted all of that shit from my account. Talk about censorship!And now all of these followers , it's almost as if Twitter is trying to playcate me."
2021-11-30 22:40:03+00:00,1,Twitter for iPhone,Happy Birthday Covid-19. #Wuhan #December2019 #Omicron
2021-11-30 22:39:24+00:00,2,Twitter for iPhone,"@OldNormality Pains, chains and autoimmunity 

Wuhan Flu: Thanks for Everything 

Batplan Returns

Breakheart

Children of the Conned

Village of the Jabbed"
2021-11-30 22:39:06+00:00,1,Twitter Web App,"@drrollergator @gfodor @disitinerant @VeteranGamerUK @3rbunn1nja @AmandaLeftCoast I'm pretty sure that comment was on @VeteranGamerUK's Australia thread. 

I think that's referring to the videos of the Chinese doing that exact thing in late 2019 (welding sheets of steel over the doorways of buildings) during the Wuhan event."
2021-11-30 22:38:34+00:00,1,Twitter for iPhone,"@shrimpzoo Delta came out of India October 2020. It was here in April. Handful of cases. These things take time.

The 0 cases to hospitals overflowing in a month in Wuhan was the fib. It was around for many months before."
2021-11-30 22:37:39+00:00,0,Twitter Web App,"Equally good is Sharri Markson's book [What really happened in Wuhan] exposing all the ""smoking guns"" of PingPong's weaponised virus."
2021-11-30 22:37:21+00:00,1,Twitter for iPhone,"“During remarks about the new Xi variant of Wuhan coronavirus at the White House Monday, President Joe Biden was asked to define a ""new normal"" for the American people. Biden responded by saying the ""new normal"" is endless vaccination and booster shots.”https://t.co/O60fy7xhCt"
2021-11-30 22:37:00+00:00,3,Twitter for iPhone,"@cristo_radio @LornaBlane @misstahlee @QuinlanQuinlan @Ryu79726178 @RemoveAllLTNz @paulschapman @LoveFor2Wheels @Cornwall111 @Coho29415979 @CrippledCyclist @getridofltns @AntiLTN @dj_ez_sock @AshGMan2 @FastOrFar @mycorneroftheW @arben_sallaku @JohnBSylvester @leeanntb @JamesBurdass @Harveym000 @SarabjeetKaley @Margaret1Brady @HummJS @delgueg @IanHart14 @ioisours @OneLambeth_Just @OWandsworth @MicheleRagusa6 @IanSpeed2 @JAlaszewski @Alfiebubbles @tonymess14 @rubin29312972 @RuponMiah8 @telesyros @MsKHoney2 Hysteria Cristo? What’s your reason for that descriptor?
So what about the 18 months between the pledge to make changes and the start of the pandemic? Were they the only ones outside Wuhan to know the virus was on its way?"
2021-11-30 22:34:30+00:00,0,Twitter Web App,Mel K Discusses Epstein's Wuhan Lab Connection with Nicholas Veniamin https://t.co/VZvVC8clTK via @BitChute
2021-11-30 22:29:28+00:00,0,Twitter for iPhone,"@dgventers Yes they were, read the case study you linked. The reason why the transmission was so low in Wuhan is because of the incredibly strict lockdown rules. Forgive me but you appear to be quite ignorant  if you still don’t get this as the facts are right in front of you"
2021-11-30 22:27:12+00:00,1,Twitter Web App,"The reason they are freaking on the new variant of the vid is because it has all new signatures.

Which means someone released a new strain of the wuhan virus...You know, like the ones who did it before."
2021-11-30 22:24:58+00:00,22,Twitter Web App,"Tatsuo Akargi - A man who looking for revenge but to rid Lucretia of his thoughts. VA. @josh_saitogami 
----
Mei Wuhan - Tai Chi Chaun style beaut
---
Justice Mendoza - She is Ramona's childhood friend.
--
Li Fen - As she will say, ""I'm the hero for the people.""

remake coming. https://t.co/96NtT6lIPZ"
2021-11-30 22:23:43+00:00,1,Twitter for iPhone,"@USATODAY Did somebody say Covid came from Wuhan, about someone messing with Mother Nature in a lab? Pause: what’s next , someone messing with big mama again."
2021-11-30 22:22:25+00:00,0,Twitter for iPhone,@dgventers There was no vaccine for a long time when a-symptomatic people were spreading Covid as it’s airborne &amp; people were not aware they had the virus. The reason why the spread was so low in the case study you linked is because it was done in WUHAN! where they had the tightest lockdown
2021-11-30 22:21:26+00:00,0,Twitter Web App,https://t.co/dN7waaDw7t Nearly half a million people may have had Covid-19 in Wuhan: study. https://t.co/0MNBhAQEya
2021-11-30 22:17:07+00:00,1,Twitter for Android,"@metalheadshawn @Logue29 @CBSNews One weird coincidence gamma-ray burst happen on Dec 21 2019 same day ""cluster of pneumonia cases with an unknown cause occurred in Wuhan starting on December 21, 2019."" Also another gamma-ray burst Jan 15th, 2020 The patient from Washington with confirmed case January 15, 2020."
2021-11-30 22:16:43+00:00,0,Twitter for Android,"@KalmenBarkin3 @AnimaMoto1 @Ammer_B @angie_rasmussen Well, as a matter of fact B1.1.529 VoC was first reported on 12th of July 2021. And that's in the media. So labs knew about it for 2 weeks somewhere in mid/end of June. That's a lot of time to emerge, it must have been upgraded in Wuhan.

So it's a clown's show 🤡"
2021-11-30 22:16:25+00:00,1,Twitter Web App,"OnlineColumnist.comFauci and his 56-year-old friend Peter Daszak at the EcoHealth Alliance have been covering up the origin of the virus, saying it occurred naturally in Wuhan. Fauci and Daszak cover up Shi Zhengli's dangerous gain-of-function research that created the virus."
2021-11-30 22:15:59+00:00,16,Twitter for Android,It is no longer open to debate whether COVID19 escaped from the Wuhan lab. It did. The only question is whether it was accidental or on purpose.
2021-11-30 22:15:27+00:00,0,Weyes Social,"The extensive experience and know-how and the comprehensive service make Wuhan Jarmoo Flag Co., Ltd. strong. #sublimationlanyard #personalizedmousepads https://t.co/ModIgyxyRo"
2021-11-30 22:15:24+00:00,38,Twitter for iPhone,"@sjvanterpool @rak3re This is going to be a never ending cycle of new variants, just like with colds and flus. You may get mildly sick every year, keeping your immunity updated.

Current booster is based on original Wuhan strain, not Omicron. Boosting every few months is not sustainable."
2021-11-30 22:11:21+00:00,0,Twitter Web App,"@cashpiggy22 @Hellohowru12345 ...horse shit), it became possibly true.

As far as I know, both hypothesis (Wuhan wet market and lab) remains unproven as the evidence remains insufficient to support either.

Any assertion that one is true over the other remains a conspiracy theory advocate."
2021-11-30 22:10:50+00:00,0,Twitter Web App,"@HillTVLive @ryangrim @KimIversenShow @robbysoave Will Fauci be indicted over lying about Gain of Function Research and for funding the lab that caused COVID 19? Also, why was  China doing gain of function in Wuhan were they possibly making biological weapons  #risingqs"
2021-11-30 22:10:34+00:00,0,Twitter Web App,"https://t.co/19Exr4ZDpq Dr. Anthony Fauci continues to cover up the origin of the deadly novel coronavirus and the role he played in funding dangerous ""gain-of-function"" experiments at the Wuhan Institute of Virology."
2021-11-30 22:09:19+00:00,0,Twitter Web App,@7NewsAustralia @WHO WHO is a wasted space that no country should listen to after its debacle of Wuhan.
2021-11-30 22:08:01+00:00,1,Twitter Web App,"""Fauci burst out laughing after he was asked about Republican senator Ted Cruz calling for him to be prosecuted over his links to the Wuhan Institute of Virology[...].""

""'I should be prosecuted?' he chuckled. 'What happened on January 6th, senator?'""
4/"
2021-11-30 22:07:41+00:00,0,Twitter for iPhone,Could you plz stop your correspondents saying “Wuhan strain” in podcasts of Babbage? @TheEconomist should have a sense to call the original strain properly. I feel very disappointed and badly hurt. @zannymb @alokjha @natashaloder @zlj517 @WHO @StopAAPIHate @XHNews @MFA_China
2021-11-30 22:07:36+00:00,0,Twitter for iPhone,He has helped KILL MILLIONS by funding wuhan red death and he personally murdered DOGS—why is this asshat still free?
2021-11-30 22:07:32+00:00,18,Twitter for iPhone,"We are doing the same things that didn’t work for the Wuhan strain, or for any other variant. How is this helping?"
2021-11-30 22:05:21+00:00,1,Twitter Web App,It's a shame the wuhan wheeze wasn't actually as bad as the covid cultists make it out to be.
2021-11-30 22:03:57+00:00,0,Twitter Web App,White Smoke Emanates From Wuhan Lab Chimney Signaling A New Variant Has Been Named https://t.co/GFDrULhlfU via @TheBabylonBee
2021-11-30 22:02:41+00:00,1,Twitter for Android,"@VeganHonk666 @WilliamHershe10 @Lunarsir1 @disclosetv The vaccines are also targeting Wuhan type Spike proteins so this is strange rationele. The Vaccines are on the same basis not effective, regardless of their safety which they are definitely not."
2021-11-30 22:01:07+00:00,0,Hootsuite Inc.,"In a new publication from Opto-Electronic Advances, the research group of Professor Xiong Wei, from Huazhong University of Science and Technology, Wuhan, China, discuss recent advances in optical dynamic meta-holography. Article via @physorg_com 
https://t.co/o2NTA8PHqW"
2021-11-30 22:01:04+00:00,0,Twitter Web App,"@Jewtastic Have you read the experiments that he's had done on dogs and continues to have done? They're along those lines. And, IMO, he knew what was happening at Wuhan and his coverup - including demonizing effective treatments - has caused millions to suffer and die, alone."
2021-11-30 22:00:07+00:00,0,Twitter for iPhone,@DrTedros @WHO Get back to Wuhan and do your job
2021-11-30 21:59:15+00:00,0,Twitter Web App,"lols 

Every virus ever has been named after it's original source. 
West Nile Virus, Ebola, MERS, Spanish Flu, Zika. 

Now all of a sudden we shouldn't call it the Wuhan Flu? How about the CCP Virus. China Virus? 
How about skipping Xi to go to Omicron. Fuck Xi Jinping."
2021-11-30 21:59:04+00:00,0,Twitter for iPhone,"@tedcruz Senator,

There have been no Wuhan-style lockdowns in the United States.

It’s effectively impossible to make such lockdowns happen here."
2021-11-30 21:58:43+00:00,0,Twitter Web App,"@CognitiveEmpat1 @sailorrooscout Some reports are citing that 2.4 figure as relative to the original ""wild type"" Wuhan virus, not Delta, which is already more virulent than the original one.  If this is the case, the O. &amp; Delta might be more similar than originally feared.  But the reporting is confusing,"
2021-11-30 21:58:40+00:00,0,Twitter Web App,"@Plinz Daszak claims the lab did not contain viral isolate or cultured viruses. Not sure if that's been definitively contradicted. As to proximity to Wuhan markets, he claims it's not unusual for large markets to attract farmers and populations from the regions https://t.co/TZUbKHyCE9 https://t.co/P3G81toRnl"
2021-11-30 21:58:04+00:00,0,TweetDeck,"@HouseCommerce GOP asking Nat Acad of Medicine to investigate EcoHealth's Peter Daszak for ""misconduct"", as part of E&amp;C #COVID origins inquiry

https://t.co/eUge2tWUZ2

#Wuhan #COVID19"
2021-11-30 21:57:08+00:00,0,Twitter Web App,"The #Variant ""S"" of the #Wuhan #ChinaVirus #Delta #Lambda #Omicron #Transformers next up #Avengers Variant #zeoliarmy @michaelb2551 https://t.co/SoA39emI69"
2021-11-30 21:56:45+00:00,0,Twitter for Android,"@Reuters Omicron is an unstoppable cybervirus. It has so many mutations in its spike protein, u can't even imagine. 

It was created in a metaworld lab of virology in Wuhan, China. &amp; escaped accidentally, while no one was watching.

Omicron is now in cyberspace, &amp; a 🌎 of virtual reality!"
