Date Created,Number of Likes,Source of Tweet,Tweets
2019-12-31 23:25:01+00:00,6,Twitter Web App,"@MackayIM 11 mil people in Wuhan &amp; 58 mil in Hubei province so if they're interested in 27 cases of pneumonia in winter I might guess there are grounds for suspicion. But - given a likely R0 of 0.4 for SARS and proactive PH intervention, I'll desist from hand-waving for now."
2019-12-31 23:19:18+00:00,3,Twitter for iPhone,"27 Chinese citizens near Wuhan, Hebei province have unidentified pneumonia. May be a new #SARS.  https://t.co/GiAAVrXkYw"
2019-12-31 23:12:57+00:00,15,Twitter Web App,"Great point about persistent SARS consciousness. Even with the Wuhan atypical viral pneumonia, the mere idea of SARS has swept through online and public discussions in China as quickly as the 02-03 outbreak. Important considerations for policy-makers in risk communication."
2019-12-31 22:20:36+00:00,0,Facebook,"China HongKong 
Hong Kong takes emergency measures as mystery ‘pneumonia’ infects dozens in China’s Wuhan city
Most patients worked at a seafood market and... https://t.co/5BXFR5VpJx"
2019-12-31 22:08:54+00:00,2,Twitter Web Client,"@CIDRAP: News Scan for Dec 31, 2019 https://t.co/JOLBDLwtnn #Wuhan #Ebola #MERS"
2019-12-31 21:48:19+00:00,15,Twitter for Android,"@asahi This SARS is in WuHan not Hong Kong, babe🤦😱😱😱😱😱😱😱😱"
2019-12-31 21:45:08+00:00,15,Twitter Web Client,"No specific results but report states lab tests have been done that they have quashed SARS (CoV or syndrome?) fears. 
Still lots unclear and poorly defined. Fog of early outbreak.

27 cases of viral pneumonia reported in Central China's Wuhan https://t.co/mDtJZFwfQv via @YouTube"
2019-12-31 21:37:45+00:00,0,Facebook,Hong Kong takes emergency steps as mystery ‘pneumonia’ infects 27 in Wuhan https://t.co/YUCCOOgkm8
2019-12-31 21:36:22+00:00,1,Hootsuite Inc.,"China investigates SARS-like virus as dozens struck by pneumonia
5h ago. Health experts have been dispatched to the central city of Wuhan after 27 people were struck down by viral pneumonia. #coverup #SARS https://t.co/6FxRyhTawX"
2019-12-31 21:34:03+00:00,0,dlvr.it,World Briefs: Sars-like outbreak suspected in Wuhan https://t.co/pXCQiHeOrG #italy #singapore #asia https://t.co/PCH9H0ywBK
2019-12-31 21:33:47+00:00,1,Echobox,World Briefs: Sars-like outbreak suspected in Wuhan https://t.co/ww2OZTB5Lz
