Date Created,Number of Likes,Source of Tweet,Tweets
2020-09-30 23:58:11+00:00,0,Upflow,"China's most popular holiday travel destination is in Wuhan, the one-time COVID epicenter https://t.co/miQAQwLZRQ https://t.co/1nG02wrYAY"
2020-09-30 23:58:05+00:00,1,Twitter for iPhone,@Breaking911 With what? California is broke and busted. They damn sure are not getting my tax dollars for such stupidity.
2020-09-30 23:56:55+00:00,1,Twitter for iPhone,@riverjordan19 @schatz_rashad @TinTinResists @JoeBiden Eagles are predators. What he got was most likely a sense of fear. Nothing more.
2020-09-30 23:55:20+00:00,4,Twitter Web App,"@koat7news Forcing children whose risk of serious illness or death from the Wuhan flu is statistically zero and who don't readily transmit the virus to be masked all day is straight up child abuse.
Would it be asking too much for @koat7news to investigate the data and report the truth?"
2020-09-30 23:55:08+00:00,1,Twitter for iPhone,"@stevelwatts @real_defender @JoeBiden lol and here you are supporting exactly what your grandfather fought to end. The fascist left. Amazing times, eh?"
2020-09-30 23:55:05+00:00,0,Twitter Web App,Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct? https://t.co/MmJeMfVblt
2020-09-30 23:52:55+00:00,1,Twitter for Android,"@MrInToWishin @ThursdayGem @realDonaldTrump Racism is a horrible word, that got watered down in today's culture. It has lost its impact. I got called a racist for calling the Corona virus ""The Wuhan"" virus. I wear that one as a badge of honor. In my lifetime, that was a word you never wanted to be called. Now it's meh."
2020-09-30 23:52:46+00:00,3,Twitter for Android,@ABCFactCheck @HonTonyAbbott Didn't they weld building doors shut in China during the initial lockdown in Wuhan?
2020-09-30 23:52:44+00:00,1,Twitter for Android,"@sophiescott2 @MackayIM @AliciaTDennis @MaryLloyd4 @Em_Dawn Initially 1300 HCWs infected in Wuhan. Not 1 infection of 42,000 HCWs under
(Protection of Medical Team in Wuhan) Dr  Wei CHEN Maj Gen Biological Warfare &amp; Politburo
March 26 2020
Slides from (virtual) meeting
https://t.co/vU2HdesLV1"
2020-09-30 23:52:33+00:00,0,Twitter for iPhone,"I’m so surprised 
Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct? https://t.co/BNJspuDR2r"
2020-09-30 23:51:15+00:00,0,Twitter Web App,"@DavidJo73723631 @realDonaldTrump Obama, Fauci, and Gates weren't in Wuhan in 2015. That's simply false, and it probably comes from this false meme.

https://t.co/V8BG27YsWg"
2020-09-30 23:51:06+00:00,0,Twitter Web App,"Wrong yet again, I think a pattern has formed - Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct? https://t.co/2oJaZDInZE"
2020-09-30 23:50:57+00:00,0,Twitter for Android,@LeftyCrypto Are we even surprised though...
2020-09-30 23:50:30+00:00,0,Twitter for iPhone,"@JoeBiden Lies. Btw, Nice eulogy for grand wiz Byrd. I also hear Robert Spenser is rooting for you now. lol"
2020-09-30 23:50:15+00:00,1,Twitter Web App,"@JustADad2020 @myusnewswire @AnonsSynonymous @realDonaldTrump But that is why POTUS created the nation's Wuhan Coronavirus Task Force on 1/29/2020; then 2-days later POTUS declared a health emergency and ordered any citizens coming from China to quarantine for 14 days. 
/POTUS saved lives."
2020-09-30 23:48:59+00:00,1,Twitter for iPad,"@SBDSoultrain @Shannon21043336 @zaphodbebblebr1 @downrangechaos @TrumpSugar @akvawe66 @CrayCrayCrayol1 @misshellca @shrekthepunk @Emma34770971 @PhilDiagnosis @Vickie627 @Orcinus27580858 @DigiVorr @ic_lib @KimJongOrange5 @ziggystardad @Chyanne1430 @DawnMadelene @instinctnaturel @dtapplegate @JamesAmfedup @AmateurMmo @_LookIntoMyEyes @fourfingabandit @nikstift @dpann1234 @RedStateYankee @PhilipEMSkinne1 @JonSmith922 @Fun_is_good @BDemocratsfor @Jennykbe @EMMYreincarnate @GOPisDirty @HurrNot @korij1962 @2_vexed @zaharias19 @mi_sfrom @GOPkleptocrat @JenCages @maqart55 @Hildolfr3 @lands_michelle @calijeff1 @weronlyhumn @cofffeedreams @aca8of @OwlFoxVT Ewww....
And we worry about the Wuhan."
2020-09-30 23:48:14+00:00,0,Twitter for iPhone,"We need some votes and rts, folks."
2020-09-30 23:47:43+00:00,0,Twitter Web App,Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct? LIAR!  https://t.co/1LvSWedRgi
2020-09-30 23:45:46+00:00,1,Twitter for iPhone,"@AngelaBelcamino @realDonaldTrump Nah. It’s because Twitter tries to keep leftists and conservatives in there own little echo chambers. We only escape the bubble if one party interacts with you. In other words, those that would vote for Trump, haven’t really seen your poll yet. But that’s about to change."
2020-09-30 23:45:41+00:00,8,Twitter for iPhone,"@Cloughy24 I have been following the story since Jan. Here’s something I recorded in March to get a first hand account of CCP policy in Wuhan’s province. 

I don’t even frame it left/right anymore. The whole political class played games with this. Impacts us all.

https://t.co/nw13t5IjKt"
2020-09-30 23:45:24+00:00,0,Twitter for iPhone,"@LiterallyLitR8 @ButlerBeau @KamVTV @j_stryker8688 He allowed these 40,000 people after his travel ban. You know the difference between a Chinese citizen and an American who spent a year in Wuhan? The American was allowed into this country unchecked and untested while the individual from China was banned. Grade A Competence."
2020-09-30 23:43:08+00:00,2,Twitter for Android,"@CBCNews #wuhan gambling establishment?

I am shocked."
2020-09-30 23:42:51+00:00,0,Twitter for iPhone,"@JoeBiden The sicker part would be the (Chinese Wuhan virus)that could’ve been stopped in China ! so that’s where the sickness Comes from ,But we will overcome this ! and Donald Trump will take care of his own people which would be -The great country we are!"
2020-09-30 23:42:16+00:00,0,Twitter for iPhone,"@hoesslovewendy @camart1234 @TrumpWarRoom It came from a lab in Wuhan China. Flus and diseases are always named for their place of origin, like Lyme disease, SARS, and West Nile virus."
2020-09-30 23:40:47+00:00,0,Twitter for iPhone,Finally some Factual Journalism. #auspol           Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct? - ABC News https://t.co/sOmZyHwENF
2020-09-30 23:40:18+00:00,29,Twitter Web App,"Abbott inventing facts.

An LNP speciality.

Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct? https://t.co/EmI1rQHPAP"
2020-09-30 23:39:45+00:00,0,Twitter for iPhone,"@KurtSchlichter Honest to god, turnips have more intelligence than leftists. 🤦🏽‍♀️"
2020-09-30 23:36:51+00:00,0,Twitter for iPhone,"@realDonaldTrump Nope, you did nothing to implement public health strategies.   Tens  CNN of thousands of people came from Wuhan, horse was out of the barn- you idiot."
2020-09-30 23:35:36+00:00,90,Twitter Web App,Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct? https://t.co/XhagcsRkrl
2020-09-30 23:35:18+00:00,6,Twitter for Android,"Of course Tones was wrong. What he meant to say was that, outside Wuhan,  Victoria's lockdown was the most SUCCESSFUL in the world.
https://t.co/D1VKjgK4yo"
2020-09-30 23:34:24+00:00,4,Twitter Media Studio,"#LIVE In celebration of #MidAutumnFestival and #NationalDay, The Paper joins a group of special passengers to return to #Wuhan by train. These passengers include a man who drove alone to Wuhan to fight #COVID19, a female truck driver &amp; a foreign student. https://t.co/yeimZDc3Qx"
2020-09-30 23:33:55+00:00,0,Twitter for Android,"BECAUSE THE FAKE NEWS MEDIA HASN'T TELEVISED EVERY UPDATE TO THE WUHAN CHINA VIRUS MOBILIZATION THE CROOKED DEMOCRATS LIE AND SAY THAT OUR PRESIDENT HAS DONE NOTHING.
MOBILIZATION OF THE PUBLIC,PRIVATE,GOVERNMENT and MILITARY...
THE HOSPITALS BUILT(THEY DIDN'T EVEN NEED...1 OF 2"
2020-09-30 23:32:44+00:00,0,Twitter for Android,"If infection rate was high in #Wuhan why did #coronavirus suddenly disapear? As suspected, were infected ppl killed? Suspicious fire in Covid hospital, hotel, missing sim cards, ppl locked in homes, etc. Conspiracy?
https://t.co/NOcK7PF7j5"
2020-09-30 23:31:48+00:00,0,Twitter Web App,Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct?   No!  https://t.co/7qnBWJRo2s
2020-09-30 23:30:58+00:00,0,Twitter Web App,Probably how COVID-19 started. VA paid Wuhan.
2020-09-30 23:30:34+00:00,0,Twitter for iPhone,"@rebeccaballhaus Why shouldn’t he release it? We all suspected it, and it’s already been proven who paid for the dossier. It’s not that far of a stretch to figure out who and where it started. Remember Hillary’s famous words, “if that bastard wins, we’ll all swing from nooses!!!!”"
2020-09-30 23:29:41+00:00,0,Twitter Web App,@gamegrouch @seanhannity @realDonaldTrump You do know that China allowed this virus to spread throughout the world rather than shutting down travel out of China. You do know that they shutdown people in and out of Wuhan to the rest of China but NOT the world?
